,标题,作者,类型,是否完结,下载地址,密码,内容,漫画页地址
1375,伊藤润二精选集漫画全集 完结版 5G左右 日本漫画 PDF,,其他,完结,https://pan.baidu.com/share/init?surl=xys-lD4eLTYE-bFHTYBb5A,bu4d,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-14737"" height=""512"" sizes=""(max-width: 384px) 100vw, 384px"" src=""https://www.pdf5.net/wp-content/uploads/2019/06/23012834447-768x1024.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/06/23012834447.jpg 768w, https://www.pdf5.net/wp-content/uploads/2019/06/23012834447-225x300.jpg 225w"" width=""384""/>
  </figure>
 </div>
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-14738"" height=""512"" sizes=""(max-width: 384px) 100vw, 384px"" src=""https://www.pdf5.net/wp-content/uploads/2019/06/23012857779-768x1024.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/06/23012857779.jpg 768w, https://www.pdf5.net/wp-content/uploads/2019/06/23012857779-225x300.jpg 225w"" width=""384""/>
  </figure>
 </div>
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-14740"" height=""406"" sizes=""(max-width: 300px) 100vw, 300px"" src=""https://www.pdf5.net/wp-content/uploads/2019/06/23012937495.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/06/23012937495.jpg 600w, https://www.pdf5.net/wp-content/uploads/2019/06/23012937495-222x300.jpg 222w"" width=""300""/>
  </figure>
 </div>
 <p>
  いとう じゅんじ （译 伊藤润二）日本著名惊悚动漫作家。其代表作有《富江》、《至死不渝的爱》。在伊藤润二的所创造的世界里，一个平凡无奇的东西、想法或事件，因伊藤润二写实的画风，整个故事就像活着一样，栩栩如生。
 </p>
</div>
",https://www.pdf5.net/14736.html
1377,《死亡笔记》pdf漫画 中文版 完结全12册、108话 日本漫画 PDF,,恐怖,完结,https://pan.baidu.com/share/init?surl=bgop4BuWiNnNkqVgVix5hQ,dzip,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-14536"" height=""376"" sizes=""(max-width: 512px) 100vw, 512px"" src=""https://www.pdf5.net/wp-content/uploads/2019/06/12092427111-1024x751.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/06/12092427111-1024x751.jpg 1024w, https://www.pdf5.net/wp-content/uploads/2019/06/12092427111-300x220.jpg 300w, https://www.pdf5.net/wp-content/uploads/2019/06/12092427111-768x563.jpg 768w, https://www.pdf5.net/wp-content/uploads/2019/06/12092427111.jpg 1200w"" width=""512""/>
  </figure>
 </div>
 <table cellpadding=""0"" cellspacing=""0"">
  <tbody>
   <tr>
    <td class=""t_f"" id=""postmessage_159"">
     简介：
     <br/>
     Death Note，一本只要名字被写上的人就会死的笔记。一切就从这本死神丢落在人间界的死亡笔记开始….…
     <br/>
     除了我们身处的世界之外，原来还有死神界的存在。死神界就是众多死神的居所，每个死神都拥有一本死亡笔记。他
     <br/>
     们的工作就是把人类的名字写在笔记上，以夺取人类的寿命。不过，谁都不知道自己究竟为了什么而生，终日过着无聊的
     <br/>
     生活。死神界正在腐化…….
     <br/>
     <br/>
     人物介绍：
     <br/>
     第一部：? ?? ???夜神月、L、琉克、弥海砂、雷姆、渡
     <br/>
     第二部：? ?? ???尼亚、梅罗、高田清美、魅上照日本
     <br/>
     搜查本部：? ? 夜神总一郎、松田桃太、模木完造、相泽周市、伊出英基、宇生田广数、北村是良
     <br/>
     8人干部：? ???尾尾井刚、树多正彦、奈南川零司、三堂芯吾、纸村英、鹰桥锐一、火口卿介、叶鸟新义
     <br/>
     其他人物：? ? 杰拉斯、夜神妆裕、夜神幸子、出目川仁、雷堠柏、南空直美、麦特
    </td>
   </tr>
  </tbody>
 </table>
</div>
",https://www.pdf5.net/14535.html
1379,《暗杀教室》中文版 全180话 日本漫画 JPG,,恐怖,完结,https://pan.baidu.com/share/init?surl=Xmk96JbQgFtoXXWNDX12Tg,nzvq,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-14533"" height=""512"" sizes=""(max-width: 360px) 100vw, 360px"" src=""https://www.pdf5.net/wp-content/uploads/2019/06/12091417519-719x1024.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/06/12091417519-719x1024.jpg 719w, https://www.pdf5.net/wp-content/uploads/2019/06/12091417519-211x300.jpg 211w, https://www.pdf5.net/wp-content/uploads/2019/06/12091417519-768x1093.jpg 768w, https://www.pdf5.net/wp-content/uploads/2019/06/12091417519.jpg 997w"" width=""360""/>
  </figure>
 </div>
 <table cellpadding=""0"" cellspacing=""0"">
  <tbody>
   <tr>
    <td class=""t_f"" id=""postmessage_28175"">
     <span style=""color: #000;"">
      <span style=""font-family: Helvetica, Tahoma, Arial, &amp;quot;"">
       炸掉月球、又公開宣布即將於明年炸掉地球的神秘超破壞生物，突然表示要來日本的私立學校．(木門)丘中學擔任放牛班３年Ｅ班的導師！為了化解地球的危機，日本政府決定訓練這個班級的學生來完成「殺死老師」這個重大的使命，同時祭出一百億圓的高額獎金提升大家的動機！
      </span>
     </span>
    </td>
   </tr>
  </tbody>
 </table>
</div>
",https://www.pdf5.net/14532.html
1381,《Rave圣石小子》pdf漫画 中文版 完结1-35卷 日本漫画 JPG PNG,,其他,完结,https://pan.baidu.com/share/init?surl=ajB1uSESJhI5sPUTt__7_g,2frj,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-14530"" height=""440"" sizes=""(max-width: 512px) 100vw, 512px"" src=""https://www.pdf5.net/wp-content/uploads/2019/06/12090402912-1024x879.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/06/12090402912-1024x879.jpg 1024w, https://www.pdf5.net/wp-content/uploads/2019/06/12090402912-300x257.jpg 300w, https://www.pdf5.net/wp-content/uploads/2019/06/12090402912-768x659.jpg 768w"" width=""512""/>
  </figure>
 </div>
 <table cellpadding=""0"" cellspacing=""0"">
  <tbody>
   <tr>
    <td class=""t_f"" id=""postmessage_28921"">
     <span style=""color: #000;"">
      <span style=""font-family: Helvetica, Tahoma, Arial, &amp;quot;"">
       遠古時代，掌管古世界的邪惡魔石「DB」在現代的這個世界上，再度的蘇醒了！！為了要拯救全人類，神明派了一位使者來到世上，而且是個能夠使用聖石「RAVE」的少年！ 居住在車庫島的哈魯，與姊姊凱特蕾雅一同過著平靜的生活。但是自從偶然釣起一只不明生物——普魯之後，身邊便发生了一連串的事件。為了找尋真相，哈魯決定離開小島，前往未知的世界……
      </span>
     </span>
    </td>
   </tr>
  </tbody>
 </table>
</div>
",https://www.pdf5.net/14529.html
1383,《神鬼一族》pdf漫画 中文版 完结1-14卷 日本漫画 JPG PNG,,其他,完结,https://pan.baidu.com/share/init?surl=5jAozRCHrakCuimvldsdvg,rpem,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-14525"" height=""220"" sizes=""(max-width: 512px) 100vw, 512px"" src=""https://www.pdf5.net/wp-content/uploads/2019/06/12085721532-1024x439.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/06/12085721532-1024x439.jpg 1024w, https://www.pdf5.net/wp-content/uploads/2019/06/12085721532-300x129.jpg 300w, https://www.pdf5.net/wp-content/uploads/2019/06/12085721532-768x329.jpg 768w"" width=""512""/>
  </figure>
 </div>
 <table cellpadding=""0"" cellspacing=""0"">
  <tbody>
   <tr>
    <td class=""t_f"" id=""postmessage_28922"">
     <span style=""color: #000;"">
      <span style=""font-family: Helvetica, Tahoma, Arial, &amp;quot;"">
       禦宅族高中生吾妻晴被父親帶到肯亞，表面上是為了進行非洲草原旅遊心理治療，實際上父親卻想殺了他以領取保險金。然而阿晴不單並沒有死，反而跟作為「曾經是萬物的一部分、所有生物的根源、毀滅一切使之前進的力量的意誌統合體」的病毒Will交換契約，成為新人類Omega。自此以後，阿晴得到超乎常人的運動能力，凡接觸他的體液的人，會受感染而死亡或被同化成為族人。從鬼門關重拾生命並得到新力量的他產生翻天覆地的改變。在受到另一位次世代新人類伊芙的刺激之後，阿晴決心在三年後的日本发動政變。為此他悉心挑選幹部，在民間吸納無法被社會認同而改變無路的人，在軍政界爭取在二戰後不滿日本受列強所製的人，在國外爭取支援，並派得力助手原暴走族集團總長梶秋一進入政壇。世上的其餘5個Omega（同時亦是政治領袖－－中東油王王子、美國總統夫人、中國富豪、羅馬教宗、神秘人）亦因為阿晴的出現而分別進行拉攏或打擊。
      </span>
     </span>
    </td>
   </tr>
  </tbody>
 </table>
</div>
",https://www.pdf5.net/14524.html
1385,《神鬼帝国》中文版pdf日本漫画 – 完结1-11卷 JPG PNG,,其他,完结,https://pan.baidu.com/share/init?surl=GR4Ut2xMR6qhPIKmaE7IQg,o4s8,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-14522"" height=""264"" sizes=""(max-width: 512px) 100vw, 512px"" src=""https://www.pdf5.net/wp-content/uploads/2019/06/12085214941-1024x527.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/06/12085214941-1024x527.jpg 1024w, https://www.pdf5.net/wp-content/uploads/2019/06/12085214941-300x155.jpg 300w, https://www.pdf5.net/wp-content/uploads/2019/06/12085214941-768x396.jpg 768w"" width=""512""/>
  </figure>
 </div>
 <table cellpadding=""0"" cellspacing=""0"">
  <tbody>
   <tr>
    <td class=""t_f"" id=""postmessage_28923"">
     <span style=""color: #000;"">
      <span style=""font-family: Helvetica, Tahoma, Arial, &amp;quot;"">
       在不安的氣氛下「京都OMEGA會議」開始了。激怒了魯奇亞尼的阿梶,除了〝運氣〞遭到吸走外,就連心臟也停止跳動！於是為了讓阿梶能夠復活,阿晴決定與魯奇亞尼賭一把…最後的〝死亡遊戲〞結局將會是？
      </span>
     </span>
    </td>
   </tr>
  </tbody>
 </table>
</div>
",https://www.pdf5.net/14521.html
1387,《少年犯之七人》pdf漫画 – 完结1-22卷 jpg png,,其他,完结,https://pan.baidu.com/share/init?surl=H2iBLlBeq4I9ETeSkHiS5A,tz7p,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-14518"" height=""262"" sizes=""(max-width: 512px) 100vw, 512px"" src=""https://www.pdf5.net/wp-content/uploads/2019/06/12084453938-1024x523.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/06/12084453938-1024x523.jpg 1024w, https://www.pdf5.net/wp-content/uploads/2019/06/12084453938-300x153.jpg 300w, https://www.pdf5.net/wp-content/uploads/2019/06/12084453938-768x392.jpg 768w"" width=""512""/>
  </figure>
 </div>
 <table cellpadding=""0"" cellspacing=""0"">
  <tbody>
   <tr>
    <td class=""t_f"" id=""postmessage_28925"">
     <span style=""color: #000;"">
      <span style=""font-family: Helvetica, Tahoma, Arial, &amp;quot;"">
       殺人、傷人、欺詐、盜竊……七個少年犯、七宗罪、七個渴望自由的心！昭和30年,有七個男孩子墜進湘南特別少年院,打架,逃獄,私刑…..慘烈地度過每一天.朋友之間的友情是唯一的安慰. 這些少年們能否重過安穩的生活,以徹底真實和壓倒性的畫功展現的青春殘酷物語,由這刻開始……..
      </span>
     </span>
    </td>
   </tr>
  </tbody>
 </table>
</div>
",https://www.pdf5.net/14516.html
1389,《闪灵2人組》pdf漫画 – 完结1-39卷日本漫画 PNG,,其他,完结,https://pan.baidu.com/share/init?surl=GoV10gnghNGwTudq9Kl7Mw,7xo3,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter"">
   <img alt="""" class=""wp-image-14514"" sizes=""(max-width: 268px) 100vw, 268px"" src=""https://www.pdf5.net/wp-content/uploads/2019/06/12084032941.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/06/12084032941.jpg 268w, https://www.pdf5.net/wp-content/uploads/2019/06/12084032941-200x300.jpg 200w""/>
  </figure>
 </div>
 <p>
  《闪灵二人组》（又译闪灵2人组、夺还屋、闪灵夺还屋，日本名为“ゲットバッカーズ-夺还屋-”），是日本漫画家绫峰栏人的作品。原作为青树佑夜。在日本的讲谈社旗下杂志《周刊少年Magazine》连载。绫峰栏人凭借此部漫画，一举成为日本知名漫画家。
  <br/>
  该作品讲叙的是由天野银次、美堂蛮两人组成的“闪灵二人组”，帮助他人夺回失去的东西。
 </p>
</div>
",https://www.pdf5.net/14513.html
1391,《浪客剑心》pdf漫画 – 1~22卷完结版,,热血,完结,https://pan.baidu.com/share/init?surl=9YlcdxCVM5SUryImsrsbjw,dg1h,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-14511"" height=""406"" sizes=""(max-width: 268px) 100vw, 268px"" src=""https://www.pdf5.net/wp-content/uploads/2019/06/12083301420.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/06/12083301420.jpg 268w, https://www.pdf5.net/wp-content/uploads/2019/06/12083301420-198x300.jpg 198w"" width=""268""/>
  </figure>
 </div>
 <table cellpadding=""0"" cellspacing=""0"">
  <tbody>
   <tr>
    <td class=""t_f"" id=""postmessage_25437"">
     <span style=""color: #333333;"">
      <span style=""font-family: arial, 宋体, sans-serif;"">
       该故事发生在明治维新初年的东京。主人公绯村剑心在幕末是维新派的刽子手，人称“拔刀斋”，杀人无数。在新时代，他使用一柄逆刃刀四处流浪，立志不再杀人。在东京的神谷道场，剑心遇到了阿薰及一帮朋友们。他是否找到了呢——剑的方向，心的归属。
      </span>
     </span>
     <br/>
     <span style=""color: #333333;"">
      <span style=""font-family: arial, 宋体, sans-serif;"">
       逆刃之剑，也许是想就这样悄悄的藏住自己的锋芒的，可是剑终归是剑，能够出鞘的剑就更没有理由来说自己已经把自己隐藏得很好。
      </span>
     </span>
     <br/>
     <span style=""color: #333333;"">
      <span style=""font-family: arial, 宋体, sans-serif;"">
       也许是想避开那些权利的争斗，也许是想避开无谓的纷扰，可是拔刀斋始终是属于那个一开始就被叫做拔刀斋的人，就算有人能够继承，就算别人能够抢去这样的名号，但是人们提起这个名字，脑海里还是一个火红的背影
      </span>
     </span>
    </td>
   </tr>
  </tbody>
 </table>
</div>
",https://www.pdf5.net/14510.html
1393,《源氏物语》宫城とおこ 中文版1-13卷完结 日本漫画 PDF,宫城とおこ,其他,完结,https://pan.baidu.com/share/init?surl=dd9o0hmaLNb-IT1z_yN0ww,6yg8,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter"">
   <img alt="""" class=""wp-image-1428"" sizes=""(max-width: 300px) 100vw, 300px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/25100612276.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/25100612276.jpg 300w, https://www.pdf5.net/wp-content/uploads/2019/03/25100612276-206x300.jpg 206w""/>
  </figure>
 </div>
 <p>
  世间瞩目的罗曼史通过会师宫城老师之手,如今华丽的苏醒了,紫式部的陛下热衷于古今东西的各色故事,当就编出当世第一的故事吧,在天愿作比翼鸟，在地愿为连理枝！集万千宠爱于一身，凄悲而俊美，堕入魔道化为修罗，这是那光华皇子的故事。
 </p>
</div>
",https://www.pdf5.net/1427.html
