,标题,作者,类型,是否完结,下载地址,密码,内容,漫画页地址
0,《高卢英雄历险记》英文版 1-36册 高清全彩 美国漫画 PDF,戈西尼与乌德佐,其他,完结,https://pan.baidu.com/s/1wGHycjdV0lL5q0OaWYQbmA,m9bh,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1087"" height=""485"" sizes=""(max-width: 359px) 100vw, 359px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/24054024205.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/24054024205.png 478w, https://www.pdf5.net/wp-content/uploads/2019/03/24054024205-222x300.png 222w"" width=""359""/>
  </figure>
 </div>
 <p>
  《高卢英雄历险记》是法国国宝级
  <a class=""relatedlink"" href=""http://www.zz5100.com/forum.php?gid=45"" rel=""noopener"" target=""_blank"">
   漫画
  </a>
  。由漫画界最著名的双人组合戈西尼与乌德佐操刀，从1959年开始连载。50年来，这部漫画已被译成111种语言（包括拉丁语和许多欧洲方言），全球销量达到3.5亿册。它不仅是西方家喻户晓的经典，更成为法国文化的象征之一，是当之无愧的欧漫经典。
 </p>
</div>
",https://www.pdf5.net/1086.html
1,《神奇蜘蛛侠》英文版 大合集1-700集 高清全彩 美国漫威漫画JPG,Marvel Comics,其他,完结,https://pan.baidu.com/s/1KOVq_GP1Ed-U8l_XA4aegQ,26tn,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1084"" height=""512"" sizes=""(max-width: 335px) 100vw, 335px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/24053830164-669x1024.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/24053830164-669x1024.jpg 669w, https://www.pdf5.net/wp-content/uploads/2019/03/24053830164-196x300.jpg 196w, https://www.pdf5.net/wp-content/uploads/2019/03/24053830164-768x1176.jpg 768w, https://www.pdf5.net/wp-content/uploads/2019/03/24053830164.jpg 860w"" width=""335""/>
  </figure>
 </div>
 <p>
  在一次意外中，經常被別人取笑的彼得帕克被一隻受過放射性感染的蜘蛛咬傷，獲得了蜘蛛般的能力。一天，彼得帕克的叔叔 — 班遭一名小偷槍殺，而彼得曾經有機會捉住這名小偷，他認為這是自己的錯失，明白到「能力愈大，責任愈大」，因此決定成為蜘蛛俠，拯救世界上更多的人。
 </p>
 <p>
  <strong>
   文件扩展名为【.cbr】，下载到本地，修改为【.zip】,就可以正常解压缩了。
  </strong>
 </p>
</div>
",https://www.pdf5.net/1083.html
2,《死侍v4》Marvel Comics 中文版1-25卷完结 美国漫画 PDF,Marvel Comics,其他,完结,https://pan.baidu.com/s/13_YlIugqWk3kCnzto3t7tA,ehv4,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter"">
   <img alt="""" class=""wp-image-1081"" sizes=""(max-width: 449px) 100vw, 449px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/24053612699.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/24053612699.png 449w, https://www.pdf5.net/wp-content/uploads/2019/03/24053612699-194x300.png 194w""/>
  </figure>
 </div>
 <p>
  在这个新连载中，死侍开始经营自己的小团伙——雇佣英雄（没错你侵权了亲。）他的目标是：做点好事，赚点钱。但做好事容易，又要赚钱就难了。这些被死侍招募起来的人大多游走在正邪的交界，他们真的能成为一个团队么？另外，一个巨大的危机正在向死侍逼近，他是否能过的了这关??
 </p>
</div>
",https://www.pdf5.net/1080.html
3,《经典星球大战：魔鬼世界》 中文版1-7话完结 高清全彩 美国漫画 PDF,Marvel Comics?,其他,完结,https://pan.baidu.com/s/1MZvfTIyhWLAjzJDotrKIKg,dgp2,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1069"" height=""679"" sizes=""(max-width: 479px) 100vw, 479px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/24052557815.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/24052557815.png 479w, https://www.pdf5.net/wp-content/uploads/2019/03/24052557815-212x300.png 212w"" width=""479""/>
  </figure>
 </div>
 <p>
  《经典星球大战：魔鬼世界》（Classic Star Wars: Devilworlds）
  <a class=""relatedlink"" href=""https://www.pdf5.net/category/manhua"" rel=""noopener"" target=""_blank"">
   漫画
  </a>
  是个共两期的合集，收录了上世纪80年代初漫威在英国出版的七个星战小故事。
 </p>
</div>
",https://www.pdf5.net/1068.html
4,《漫威》英文版 大合集 全彩色中文版95G！非常大 美国漫画JPG,Marvel Comics,其他,完结,https://pan.baidu.com/s/1gnQtm4O2GohCggKEDJ-8BQ,qhny,"<div class=""article-content"">
 <figure class=""wp-block-image"">
  <img alt="""" class=""wp-image-1050"" sizes=""(max-width: 1024px) 100vw, 1024px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/24044642281-1024x576.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/24044642281-1024x576.jpg 1024w, https://www.pdf5.net/wp-content/uploads/2019/03/24044642281-300x169.jpg 300w, https://www.pdf5.net/wp-content/uploads/2019/03/24044642281-768x432.jpg 768w, https://www.pdf5.net/wp-content/uploads/2019/03/24044642281.jpg 1600w""/>
 </figure>
 <p>
  <strong>
   <span style=""font-size: large;"">
    95G的漫画，非常大！注意存储空间！
   </span>
  </strong>
 </p>
 <p>
  文件扩展名为【.cbr】，下载到本地，修改为【.zip】,就可以正常解压缩了。
 </p>
</div>
",https://www.pdf5.net/1049.html
5,《美队漫画大合集》中文版1941-2015年合集 高清全彩色 美国漫威漫画JPG,Marvel Comics,其他,完结,https://pan.baidu.com/s/1tPjKUasxaw1Ux9oo-1Jgew,znup,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1047"" height=""480"" sizes=""(max-width: 316px) 100vw, 316px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/24044238685.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/24044238685.jpg 421w, https://www.pdf5.net/wp-content/uploads/2019/03/24044238685-197x300.jpg 197w"" width=""316""/>
  </figure>
 </div>
</div>
",https://www.pdf5.net/1046.html
6,《新52末日未来》DC Comics 中文版1-48话完结 美国漫画 PDF,DC Comics,其他,完结,https://pan.baidu.com/s/1_gH11VI8JQZ5pM6GSHX1mQ,wwf6,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1041"" height=""487"" sizes=""(max-width: 335px) 100vw, 335px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/24043425651.png"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/24043425651.png 447w, https://www.pdf5.net/wp-content/uploads/2019/03/24043425651-207x300.png 207w"" width=""335""/>
  </figure>
 </div>
 <p>
  明日黑骑士Batman Beyond首次进入新52世界，与cyborg军团作战，试图扭转一场会毁掉现今DCU的未来灾难！
 </p>
</div>
",https://www.pdf5.net/1040.html
7,《行尸走肉》1-167话完结+番外篇 美国漫画 PDF,Image漫画公司,其他,完结,https://pan.baidu.com/s/1_HXulwAiSgYHihbr2krx9A,e5i8,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1016"" height=""512"" sizes=""(max-width: 328px) 100vw, 328px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/24040840592-656x1024.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/24040840592-656x1024.jpg 656w, https://www.pdf5.net/wp-content/uploads/2019/03/24040840592-192x300.jpg 192w, https://www.pdf5.net/wp-content/uploads/2019/03/24040840592-768x1198.jpg 768w, https://www.pdf5.net/wp-content/uploads/2019/03/24040840592.jpg 873w"" width=""328""/>
  </figure>
 </div>
 <p>
  行尸走肉
  <a class=""relatedlink"" href=""https://www.pdf5.net/category/manhua"" rel=""noopener"" target=""_blank"">
   漫画
  </a>
  ，丧尸是不会灭亡人类的，因为能使人类灭绝的只有他们自己。只有活着的人才是最可怕的。
 </p>
</div>
",https://www.pdf5.net/1015.html
8,《漫威》大合集 全彩色中文版20卷2.5G 美国漫画 PDF,Marvel Comics,其他,完结,https://pan.baidu.com/s/1Kj3SqO7AZSAECWElkd_25w,dqyb,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter"">
   <img alt="""" class=""wp-image-1013"" sizes=""(max-width: 1024px) 100vw, 1024px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/24040312209-1024x722.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/24040312209-1024x722.jpg 1024w, https://www.pdf5.net/wp-content/uploads/2019/03/24040312209-300x211.jpg 300w, https://www.pdf5.net/wp-content/uploads/2019/03/24040312209-768x541.jpg 768w, https://www.pdf5.net/wp-content/uploads/2019/03/24040312209.jpg 1280w""/>
  </figure>
 </div>
 <div align=""left"">
  <span style=""font-family: tahoma, arial, 宋体, sans-serif;"">
   <strong>
    <span style=""font-family: 华文楷体;"">
     <span style=""font-size: xx-large;"">
      数量本数：20卷
     </span>
    </span>
   </strong>
  </span>
 </div>
 <div align=""left"">
  <span style=""font-family: tahoma, arial, 宋体, sans-serif;"">
   <strong>
    <span style=""font-family: 华文楷体;"">
     <span style=""font-size: xx-large;"">
      <a class=""relatedlink"" href=""http://www.zz5100.com/forum.php?gid=45"" rel=""noopener"" target=""_blank"">
       漫画
      </a>
      语言：高清全彩色中文
     </span>
    </span>
   </strong>
  </span>
 </div>
 <div align=""left"">
  <span style=""font-family: tahoma, arial, 宋体, sans-serif;"">
   <strong>
    <span style=""font-family: 华文楷体;"">
     <span style=""font-size: xx-large;"">
      文件格式：PDF
     </span>
    </span>
   </strong>
  </span>
 </div>
 <div align=""left"">
  <span style=""font-family: tahoma, arial, 宋体, sans-serif;"">
   <strong>
    <span style=""font-family: 华文楷体;"">
     <span style=""font-size: xx-large;"">
      占空间大小：2.45G
     </span>
    </span>
   </strong>
  </span>
 </div>
 <p>
  <span style=""color: #000;"">
   <span style=""font-family: tahoma, arial, 宋体, sans-serif;"">
    <strong>
     <span style=""font-size: xx-large;"">
      <span style=""color: #ff0000;"">
       [Marvel Comics][终极漫画复仇者v1]第1-6卷
       <br/>
       [Marvel Comics][新复仇者v3]第1-23卷
       <br/>
       [MARVEL][复仇者V4]第1-3卷
       <br/>
       [MARVEL][复仇者V5]第1-30卷
       <br/>
       [DC][正义联盟]第1-36卷
       <br/>
       [Marvel Comics_DC Comics][正义联盟vs复仇者联盟]第1-4卷
      </span>
     </span>
    </strong>
   </span>
  </span>
 </p>
 <div align=""left"">
  <span style=""font-family: tahoma, arial, 宋体, sans-serif;"">
   <strong>
    <span style=""font-size: xx-large;"">
     <span style=""color: #ff0000;"">
      复仇者解散
      <br/>
      复仇者（全5集，复仇者第500至大结局，主线故事）
      <br/>
      诸神的黄昏（全6集，托尔V2的第80至85集，支线故事）
     </span>
    </span>
   </strong>
  </span>
 </div>
 <div align=""left"">
  <span style=""font-family: tahoma, arial, 宋体, sans-serif;"">
   <strong>
    <span style=""font-size: xx-large;"">
     <span style=""color: #ff0000;"">
      秘密战争
      <br/>
      秘密战争（全5集，主线故事）
     </span>
    </span>
   </strong>
  </span>
 </div>
 <div align=""left"">
  <span style=""font-family: tahoma, arial, 宋体, sans-serif;"">
   <strong>
    <span style=""font-size: xx-large;"">
     <span style=""color: #ff0000;"">
      脉动（全4集，脉动第6至9集，支线故事）
     </span>
    </span>
   </strong>
  </span>
 </div>
 <div align=""left"">
  <span style=""font-family: tahoma, arial, 宋体, sans-serif;"">
   <strong>
    <span style=""font-size: xx-large;"">
     <span style=""color: #ff0000;"">
      马格纳斯之殿
      <br/>
      马格纳斯之殿（全8集，主线故事）
      <br/>
      M皇室之内战（全5集，支线故事）
      <br/>
      M日之后（全1集，后续故事）
      <br/>
      M氏家族之美国队长（全1集。支线故事）
     </span>
    </span>
   </strong>
  </span>
 </div>
 <div align=""left"">
  <span style=""font-family: tahoma, arial, 宋体, sans-serif;"">
   <strong>
    <span style=""font-size: xx-large;"">
     <span style=""color: #ff0000;"">
      内战
      <br/>
      内战（全7集，主线故事）
      <br/>
      新复仇者之光照会（全1集，前传故事）
      <br/>
      内战之路（全2集，前传故事）
      <br/>
      内战之猜想（全1集，前传故事）
      <br/>
      冬日战争（全1集，支线故事）
      <br/>
      钢铁侠（全2集，支线故事）
      <br/>
      惊奇女士（全3集，支线故事）
      <br/>
      神奇四侠（全2集，支线故事）
      <br/>
      神奇蜘蛛侠（全10集，支线故事）
      <br/>
      锁链和死待（全2集，支线故事）
      <br/>
      坠落之子（全5集，支线故事）
      <br/>
      雷霆特工队（全3集，支线故事）
      <br/>
      内战之X战警（全4集，支线故事）
      <br/>
      黑豹（全3集，支线故事）
      <br/>
      战争之殇（全1集，支线故事）
      <br/>
      美国队长（全1集，支线故事）
      <br/>
      坦白（全1集，后续故事）
      <br/>
      恶灵骑士（全4集，后续故事）
     </span>
    </span>
   </strong>
  </span>
 </div>
 <div align=""left"">
  <div align=""left"">
   绿巨人世 界大战
   <br/>
   绿巨人世 界大战（全5集，主线故事）
   <br/>
   绿巨人世 界大战：X战警（全3集，支线故事）
   <br/>
   大战余波（全1集，后续故事）
  </div>
  <div align=""left"">
   秘密入侵秘密入侵（全8集，主线故事）
   <br/>
   新复仇者之光照会（全5集，前传故事）
   <br/>
   秘密入侵之神奇四侠（全3集，支线故事）
   <br/>
   秘密入侵之X战警（全4集，支线故事）
   <br/>
   秘密入侵之异人族（全4集，支线故事）
  </div>
  <div align=""left"">
   黑暗王朝
   <br/>
   黑暗王朝-黑暗复仇者（全12集，主线故事）
   <br/>
   黑暗清单-蜘蛛侠（全1集，支线故事）
   <br/>
   黑暗清单-复仇者（全1集，支线故事）
   <br/>
   坦白（全1集，支线故事）
   <br/>
   乌托邦（全2集，支线故事）
  </div>
  <div align=""left"">
   围城
   <br/>
   跟踪报道（全4集，支线故事）
   <br/>
   起源（全1集，前传故事）
   <br/>
   黑暗复仇者（全4集，支线故事）
   <br/>
   雷霆特工队（全3集，支线故事）
   <br/>
   黑暗金刚狼（全2集，支线故事）
   <br/>
   内阁（全1集，前传故事）
   <br/>
   蜘蛛侠（全1集，支线故事）
   <br/>
   年轻复仇者（全1集，支线故事）
   <br/>
   秘密勇士（全1集，支线故事）
   <br/>
   美国队长（全1集，支线故事）
   <br/>
   洛基（全1集，支线故事）
   <br/>
   新复仇者（全2集，支线故事）
   <br/>
   尾声：哨兵 陨落之日（全1集，后续故事）
  </div>
  <div align=""left"">
   英雄时代(这个大事件是个时期没有主线故事，但影域和混沌之战发生在这个时期)
   <br/>
   豪杰雄起(全4集，前传故事）
  </div>
  <div align=""left"">
   影域
   <br/>
   影域（全5集，主线故事）
   <br/>
   月光骑士（全3集，支线故事）
   <br/>
   艾丽卡（全1集，支线故事）
   <br/>
   恶灵骑士（全1集，支线故事）
   <br/>
   雷霆特工队（全2集，支线故事）
  </div>
  <div align=""left"">
   混沌之战
   <br/>
   混沌之战（全5集，主线故事）
   <br/>
   混沌之王（全1集，支线故事）
  </div>
  <div align=""left"">
   恐惧本源
   <br/>
   恐惧本源（全7集，主线故事）
   <br/>
   骷髅之书（全1集，前传故事）
   <br/>
   绿巨人大战德古拉（全3集，支线故事）
   <br/>
   恶灵骑士（全4集，支线故事）
   <br/>
   非凡X特工队（全3集，支线故事）
   <br/>
   非凡X战警（全4集，支线故事）
   <br/>
   黑寡妇（全1集，支线故事）
   <br/>
   雷霆特工队（全3集，支线故事）
   <br/>
   美猴王（全1集，支线故事）
   <br/>
   秘密复仇者（全2集，支线故事）
   <br/>
   死侍（全3集，支线故事）
   <br/>
   探寻神秘之旅（全9集，支线故事）
   <br/>
   无敌铁人（全9集，支线故事）
   <br/>
   无所畏惧（全12集，后续故事）
  </div>
  <div align=""left"">
   复仇者VS X战警
   <br/>
   复仇者VS X战警（全12集，主线故事）
  </div>
  <div align=""left"">
   奥创纪元
   <br/>
   奥创纪元（全10集，主线故事）
   <br/>
   非凡复仇者（全1集，支线故事）
   <br/>
   金刚狼与X战警（全1集，支线故事）
   <br/>
   终极蜘蛛侠（全1集，支线故事）
   <br/>
   神奇四侠（全1集，支线故事）
   <br/>
   余波：饥饿（全4集，后续故事）
  </div>
 </div>
</div>
",https://www.pdf5.net/1012.html
9,《X-23》中文版1-21话完结 美国漫威漫画 PDF,Marvel Comics,其他,完结,https://pan.baidu.com/s/1QD1DZ-HqrjRW6aKIE4wzkA,wr8p,"<div class=""article-content"">
 <div class=""wp-block-image"">
  <figure class=""aligncenter is-resized"">
   <img alt="""" class=""wp-image-1007"" height=""384"" sizes=""(max-width: 384px) 100vw, 384px"" src=""https://www.pdf5.net/wp-content/uploads/2019/03/24035401747.jpg"" srcset=""https://www.pdf5.net/wp-content/uploads/2019/03/24035401747.jpg 512w, https://www.pdf5.net/wp-content/uploads/2019/03/24035401747-300x300.jpg 300w"" width=""384""/>
  </figure>
 </div>
 <p>
  X-23是美国漫威
  <a class=""relatedlink"" href=""http://www.zz5100.com/forum.php?gid=45"" rel=""noopener"" target=""_blank"">
   漫画
  </a>
  旗下超级英雄，初次登场于《NYX》第3期（2004年2月）。本名劳拉·金尼（Laura Kinney），是金刚狼（Wolverine）罗根（Logan）的克隆人，拥有与金刚狼一样的自愈能力和金刚爪（手上两根脚上一根），并且比金刚狼更敏捷。
  <br/>
  在2015年漫威大事件《金刚狼之死》中，前金刚狼罗根因为被液体合金包裹，不得动弹，因此窒息而死。之后，X-23继承了金刚狼的衣冠，成为新金刚狼。
 </p>
</div>
",https://www.pdf5.net/1006.html
