,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结
0,八龙神传说,不明,内地漫画,"冒险,魔法",JPG,http://images.dmzj.com/webpic/7/002_b84cc65d2eadcb667d557fd193c99ecb.jpg,"相传，从上古时代起，天地间就存在着八位龙神，它们分别代表着天、地、雷、风、水、火、山、泽——八种力量，当这八种力量合而为一时……
震龙为本书的主人公，是有“最强魔剑师”之称的卡特元斯的大徒弟，剑术深得卡特元斯真传，随着天魔雷帝复活龙神阴谋的展开，才逐渐发现自己身为龙神战士的身分。震龙是八龙神中雷神震龙的魂，主要特技是雷击掌。",已完结
1,那些年 这些人,默默,内地漫画,治愈,JPG,http://images.dmzj.com/webpic/8/naxienian-zhexieren.jpg,我们常说，朋友好遇，知己难求。在人生的道路上，我们会遇到形形色色的人，即使有幸成为朋友，但在你落寞，失意时，能真正陪伴在你身边，对你不离不弃的人并不多。请珍惜和你一起做过的这些朋友……,已完结
2,爱的怪谈,龙比迪/后安,内地漫画,职场,JPG,http://images.dmzj.com/webpic/9/yigechuanqideyewuyuan.jpg,一个传奇的业务员，业务员是如何推销的？,已完结
3,北斗哥传奇,龙比迪,内地漫画,爱情,JPG,http://images.dmzj.com/webpic/3/beidougechuanqi.jpg,拯救世界的普通人。,已完结
4,炮姐x女王同人漫画,pushmylove,内地漫画,百合,JPG,http://images.dmzj.com/webpic/2/paojiexnvwangtongren.jpg,由178网友pushmylove个人原创的电磁炮同人漫画，主角是炮姐和女王～,已完结
5,女王x黑子同人漫画,pushmylove,内地漫画,百合,JPG,http://images.dmzj.com/webpic/3/nvwangxheizitongren.jpg,由178网友pushmylove个人原创的电磁炮同人漫画，关于女王黑子还有上条当麻（子）的小故事。,已完结
6,炮姐x当麻子同人漫画,pushmylove,内地漫画,"百合,性转换",JPG,http://images.dmzj.com/webpic/18/paojiexdangmazi01.jpg,由178网友pushmylove个人原创的某炮姐(cha)当麻子的百合同人。,已完结
7,铃科百合子x御坂妹同人,pushmylove,内地漫画,百合,JPG,http://images.dmzj.com/webpic/12/lingkebaihezixyubantongren00.jpg,当麻子x炮姐的支线故事....,已完结
8,少♂年的秘♀密,甩葱,内地漫画,秀吉,JPG,http://images.dmzj.com/webpic/15/shaoniandemimi.jpg,网友【甩葱】的原创手绘作品。,已完结
9,一把鲜血,Asa-Lee,内地漫画,冒险,JPG,http://images.dmzj.com/webpic/6/yibaxianxue20131110.jpg,宇宙马戏团团长救了一只白狼，但团长把它当狗养。白狼想吃肉，却只能和狗狗同伴吃狗粮。终于有一天白狼向团长……,已完结
10,环太平洋,佚名,内地漫画,萌系,JPG,http://images.dmzj.com/webpic/15/niaopaojian.jpg,娘化版环太平洋机体俄罗斯的Cherno Alpha（切尔诺-阿尔法），中国的Crimson Typhoon（赤红台风），日本的Coyote Tango（探戈狼）。掉节操的作品．．．．．．,已完结
11,炮乳的逆袭！,pushmylove,内地漫画,欢乐向,JPG,http://images.dmzj.com/webpic/16/paorudenixi.jpg,女王是胸垫出来的？！和马妮肿么不去SHI啊！ 嗯~之前的同人漫画设定已崩坏。因此创作新的短篇·贫乳女王！ 炮姐：「女王妮也有今天啊！」 ,已完结
12,Steel brother's,廉叔,内地漫画,"冒险,格斗",JPG,http://images.dmzj.com/webpic/6/20160524steelbrothers.jpg,一对兄弟帮助土豪夺回“漂亮”女儿的故事。,已完结
13,百合有肉,pushmylove,内地漫画,百合,JPG,http://images.dmzj.com/webpic/1/baiheyourou.jpg,「画R18同人百合本真的很简单的！绝不骗人!」、《摇曳百合》同人豆腐本！,已完结
14,我想成为眼罩侠,pushmylove,内地漫画,冒险,JPG,http://images.dmzj.com/webpic/17/1114yanzhaoxiafm.jpg,"「push哟…这里有个单子妮接不接啊…要植入眼罩广告来着！」
——「接尼玛吧…哎哟！这个价格的话凡事都可以商量嘛！大老爷！」
",已完结
15,男女那点儿事,春生,内地漫画,爱情,JPG,http://images.dmzj.com/webpic/6/nnnxs.jpg,爆笑实用脱“光”手册。漫漫脱光路，何处是尽途？都世界末日了还没找到携手共度的人？为什么脱“光”这么难？明明世界上一半都是异性啊！人品问题？NO！因为男女思维模式不同，所以你总猜不透另一半在想什么。现在就教你从心理学角度读懂另一性别人种。什么，你已经有伴儿了？没看新闻吗，现在离婚率这么高，更别说恋爱分手。理解另一半，才能恩恩爱爱到永久啊亲~？？？？,已完结
16,西藏游记,球球的画,内地漫画,搞笑,JPG,http://images.dmzj.com/webpic/19/xzyj.jpg,进藏的搞笑记录,已完结
17,执着,Number70,内地漫画,职场,JPG,http://images.dmzj.com/webpic/0/zhizhuo2.jpg,对于梦想的执着追求,已完结
18,情人节七宗最,mayeyang,内地漫画,"爱情,搞笑",JPG,http://images.dmzj.com/webpic/15/qrjqzz.jpg,"下面这七条,哪条你犯过?",已完结
19,琐夜,知更鸟,内地漫画,奇幻,JPG,http://images.dmzj.com/webpic/2/1219suoyeduanpianfm.jpg,沉默寡言，外表冷漠，这样的你，也可以交到朋友吗？,已完结
20,OVER,鲜漫动漫,内地漫画,爱情,JPG,http://images.dmzj.com/webpic/18/1219overfm.jpg,两个女人出轨的故事,已完结
