,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结
0,火影忍者,岸本齐史,日本漫画,"冒险,热血",JPG,http://images.dmzj.com/webpic/5/naruto4698.jpg,,已完结
1,死神,久保带人,日本漫画,"冒险,热血",JPG,http://images.dmzj.com/webpic/6/bleach.jpg,,已完结
2,光速蒙面侠21,村田雄介,日本漫画,"竞技,热血,高清单行",JPG,http://images.dmzj.com/webpic/10/gsmmx21686l.jpg,小早川濑那是个胆小因循守旧的高中一年级学生。自小就为了躲避被人欺负，一味地过着遁行的人生。成天被人点去买饮买食，不知不觉间练就了一副好身手（指跑步），甚至用4秒2跑出40码的世界纪录（当被狗追时）。进入高中后，濑那决意改变自己、决心加入美式足球部担任经理，期待着新生活的来临...但是，濑那由逃跑而练就出来的跑步，吸引了美式足球部的队长蛭魔妖一（ヒル魔）的眼光。因为强悍和卑劣的手段而声名远播的ヒル魔，准备训练濑那成为背号21的神秘光速之脚际遇了美式足球，濑那能改变以往的自己吗……,已完结
3,kanon & AIR,石原立也/桂游生丸,日本漫画,"萌系,生活,爱情",JPG,http://images.dmzj.com/webpic/15/aandk.jpg,kanon & AIR,已完结
4,爱永不止息,河内由加利,日本漫画,爱情,JPG,http://images.dmzj.com/webpic/17/ai.jpg,别再让我认真下去了…15岁的夏天，果苗和历彼此深深吸引…两年后他们再度相遇…不过，历已经和果苗的学姊－－希纱结婚了…。本作个是描述一个明知不会被允许，却也无法停止的爱…充满戏剧性、令人感动的爱的故事。本书也收录了长篇漫画“恋人的吻”。,已完结
5,爱丽丝19岁,渡濑悠宇,日本漫画,"冒险,魔法",JPG,http://images.dmzj.com/webpic/19/alice19.jpg,故事讲述的是主角濑野爱丽斯是一个不被人重视的女孩子，家里人也更喜欢她的姐姐，学校的同学更习惯地称呼她为“濑野的妹妹”，完全没有人记得起她的名字，但爱丽斯已经习惯了。一天，爱丽斯在上学时看到一只非常可爱的小兔子，但这只小兔子竟然站在马路的中心，于是爱丽斯便勇敢地去救它，前面的货车迎面而来，千钧一发之际同校的若宫前辈(也是爱丽斯的暗恋对象)挺身而出救了她和小兔，之后小兔跑掉了。爱丽斯的姐姐也在暗恋着若宫，并已决定将在若宫生日那天向他表白，做妹妹的当然要为姐姐加油呀，爱丽斯这样想着，带着痛苦的心情走出校园，此时天空突然发生了异常的变化，她看到一只长着兔子耳朵的女孩漂浮着半空中，并对着她亲切地说道：“我们又见面了。”……这只小兔是不是要带她进入梦幻仙境呢？…… ,已完结
6,ARCANA神秘事件簿,小手川瑜亚,日本漫画,"神鬼,悬疑",JPG,http://images.dmzj.com/webpic/5/arcana.jpg,灵魂出窍后到底会变成什么？是另一个人，还是同一個人？遇见长得一模一样的人的话，搞不好你的灵魂已经在不知不觉中出窍了……有点诡异的漫画，而且书中居然是用塔羅牌命名章节的…… 非常有意思的一部作品 两 卷完的短篇失忆少女拥有着可以看到灵魂的能力(不知不觉想起[低俗灵daydream]) 通过死者的预言，帮助刑警村上调查刑事案件，可爱却寡言的少女，整天和恶灵们低语，让人欲罢不能的怜爱和……大汗淋漓…… 加上捧腹的恶搞贯穿其间，情节也相当轻快周末的时候抓来休闲一下，是个不错的选择哟～,已完结
7,水星领航员,天野こずえ,日本漫画,"萌系,治愈,高清单行",JPG,http://images.dmzj.com/webpic/6/aria.jpg,"公元2301年，经过未来科技的改造，人类成功将一颗蛮荒的行星改造成为充满水的“水星”，名了“Aqua”，随着源源不断到来的移民，Aqua开始变成了繁华的旅游城市，在这里有着一种专门由女性担当的职业——水之领航员，她们划着小船，带领游客四处观光。15岁的女孩水无灯里怀抱着对水之领航员的向往，从遥远的地球来到了Aqua的旅游圣地之一的新维内茨亚市，立场要成为一名优秀的水之领航员……

这部作品的世界观，是在好几百年后，人们改造了火星，成为了一颗几乎是水的，『水星』。
在这颗星球上，有着和威尼斯一样的城市，而穿梭在水道上的领航员，是由少女们所组成。里面一件件的故事，总是那么的悠闲轻松自在 。
主人翁“灯里”是一个来自过度科技化地球的小女孩，在这个水星当领航员。
一切与科技不同的世界，充满着传统的文化与大自然壮丽的景色正与她交织着。
",已完结
8,爱似百汇,七路眺(ななじ眺),日本漫画,爱情,JPG,http://images.dmzj.com/webpic/7/asbh.jpg,活泼可爱的风呼和帅哥兄弟－阿壹、大也成了邻居，真是超幸运的！可是要怎样才能让万人迷大也发现自己的心意呢？ ,已完结
9,爱在彼方,原田妙子,日本漫画,爱情,JPG,http://images.dmzj.com/webpic/10/azbf.jpg,为了心爱的南，原本胆小的美优努力改变自己，希望能够成为和南最速配的女生！而南的心意呢…？ ,已完结
