,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结
0,碧海精灵,依欢,港台漫画,爱情,JPG,http://images.dmzj.com/webpic/14/bihaijingling.jpg,天真活泼的少女甯海儿，自小生长於海贼家族中，与海为伍也练就一番好身手，於某日抢劫中结识了富商船船长米歇尔。此时朝廷为平定海贼，派出钦差大人邵至洵，一场官、商、贼的追逐就此展开……也引发了爱恨情仇的情缘纠葛……,已完结
1,蔷薇豪情,赖安,港台漫画,"冒险,爱情",JPG,http://images.dmzj.com/webpic/14/16_27ef0f0fd064f34c561bd3c4402ae2ac.jpg,"堂堂一国的公主伊莲,不是大家心目中所想像的那种端庄得体的女孩,相反的,她生性豪放不羁,不但在学校爱惹事生非,连女王所下达的结婚命令也不肯听从。为躲避王室安排的政治婚姻,便漏夜逃离皇宫,展开她的逃婚之旅。在她逃婚计划成功,流落民间后,她却因为受不了那种洗碗及打杂的工作而想要逃跑。但此举却引起各路人马的行动,也使得一桩原本暗藏在台面下的阴谋,似乎有提早爆发之势",已完结
2,摇滚狂潮,李崇萍,港台漫画,"竞技,音乐舞蹈",JPG,http://images.dmzj.com/webpic/19/yaogunkuangcao20190123.jpg,"摇滚乐的狂热分子——蓝亚婷,一心想为流行音乐界的超级经纪人,无奈出师不利,得罪大牌后再也混不下去,只好去PUB...",已完结
3,狗勇者,otosama,港台漫画,"冒险,欢乐向,搞笑",JPG,http://images.dmzj.com/webpic/17/gyongzhe3bd3007.jpg,当一只狗成为了勇者，又遇上了一群狗厨队友……,已完结
4,漫画与文学的火花,幼狮少年,港台漫画,励志,JPG,http://images.dmzj.com/webpic/17/manhauyuwenxuedehuohuafengmianl.jpg,当漫画与文化相遇，彼此展开对话，会产生什么样的化学反应呢？,已完结
5,菜比巴警鸽成长日记,蠢羊/花栗鼠,港台漫画,欢乐向,JPG,http://images.dmzj.com/webpic/16/cbbjgczrj89798l.jpg,"妈妈说，下辈子别当警察！
国家的荣耀，就是鸽的荣耀（谁说的？）
犯错吃惩处，破案有业绩……想当只好鸽，怎么这么难？
臺湾第一位被抬离陈抗现场的漫画家──羊寧欣，为警发声之作！
不论你是公民、乡民，还是暴民，都该知道的警察故事。
──欢迎来到警鸽中正一分局！──
这里有只菜鸽──巴仔，巴仔虽然一身菜味但满腔热血，他立志要当只好鸽、成为人民保鸽。分局的其它学长也都是鸽子：好心教导规矩的阿修罗学长、老练世故的老金、只顾绩效不顾鸽命的长官，以及其他各具特色的鸽子同事。透过巴仔及眾鸽群的生活，我们将直击鸽子最崩溃的工作现场，体验各种血泪日常！",已完结
6,制服至上,多人,港台漫画,校园,JPG,http://images.dmzj.com/webpic/11/190213zfzs.jpg,"台湾第一本女高中生制服画册
全台五十一所高中 超过百张全新彩图",已完结
7,妖怪书包,晓君/维庭/元凯,港台漫画,"神鬼,校园",JPG,http://images.dmzj.com/webpic/6/190217ygsb.jpg,有没有想过，如果上学途中，不小心捡到一个书包，而且是个充满魔法的书包，可以让你收服妖怪，将是个什么样的异想世界呢？,已完结
8,星座大战,王小亚/夏美,港台漫画,欢乐向,JPG,http://images.dmzj.com/webpic/19/xzdz0314.jpg,梁灿是人称“星座小王子”的咖啡馆小老板；严妍是人称“星座小公主”的婚庆公司小白领。这两个性格大相径庭的男女，仿佛就像两条平行的直线，永远找不到交点。然而造物弄人，在一次意外情况下，这两条平行线找到了相交点。,已完结
9,台湾神魔鬼怪传说,黄健和/胡说斋主人,港台漫画,神鬼,JPG,http://images.dmzj.com/webpic/9/taiwankongbu0407.jpg,精彩的台湾的神魔鬼怪小说,已完结
