,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结
0,魔戒千一夜,KARA,韩国漫画,"爱情,魔法",JPG,http://images.dmzj.com/webpic/16/mjqyy.jpg,"纯真少年莱纳波在姻缘际会下成为魔王，
在魔族菁英英伊柯黎特的淳淳教导之下，
朝着‘成为最杰出的魔王’之路迈进！
然而来纳波的善良却让伊科特频频狂抓，
甚至莫名其妙的收了一个骑士当手下┅┅
魔幻纯爱物语第一集华丽登场！ 

俊美的魔族菁英伊科黎特在神的指示下，
成为纯真无邪的美少年莱纳波的的‘保姆’。
然而魔王菜鸟莱纳波这回可捅了大篓子！
立志成为杰出魔王的她独自外出修行，
布料却莫名其妙的被神官召唤到莱夏德神殿！
心急如焚德伊科黎特将会采取什么行动呢？ 
",已完结
1,纯爱360°,金淑姬,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/14/chunaisanliuodu.jpg,"诗雅是一个外表看似坚强,内心却是很寂寞的女孩. 
在她15岁生日的那一天,她独自一个人到游乐场玩. 
遇到一个很特别的大狸猫.让她度过了难忘的生日. 
但诗雅却不知道他的真正身份.... ",已完结
2,RESET 洗牌,朴亨濬,韩国漫画,"冒险,校园",JPG,http://images.dmzj.com/webpic/11/reset.jpg,千道冺因为自己所爱的女人－筱铃过世了，每天过的相当失意，浑浑噩噩毫无生气，突然有一天，偶然救了一只神秘的狐狸，结果竟然.....！？自己所爱的女人过世了，每天相当失意，后来因为一只神秘狐狸的力量而回到过去!!然而...在那里等待着的，是以前的记忆和另一个现实...!?,已完结
3,悲伤恋歌,申旨翔·旨奥,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/15/bslg.jpg,悲伤恋歌,已完结
4,NOW傩雨,朴晟佑,韩国漫画,格斗,JPG,http://images.dmzj.com/webpic/14/nuoyu.jpg,"霸君成……！曾经在雪山上杀害了百余名武林高手的超级高手,此传奇性的杀人魔,突然某天消失了行踪。经过了20年以后……武林中正流传着集合霸君成之精髓的四神武杀发,预料会再度掀起一股腥风血雨………………",已完结
5,魔境传说,孙熙俊,韩国漫画,"冒险,魔法",JPG,http://images.dmzj.com/webpic/19/mojingchuanshuo.jpg,来自韩国漫画家孙熙俊的作品，根据日本知名恐怖片《魔境传说》改编而成。魔境传说漫画故事讲述了少女霜亚在恶魔、吸血鬼、木乃伊及狼人的带领下，勇闯恶魔学校「海帝士」，她的目的竟是传说中的「戒指」？面对一波接一波的外来强敌攻击，魔境危机一发！人气暴走风云登场....,已完结
6,狼的诱惑,文娜英,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/12/138_afbe5ebbe2e25371f9daebc5f30aed2d.jpg,融合日韩流行风尚的《狼的诱惑》漫画版，以精致炫酷的耀眼人物，超完美地再现了令中韩粉丝们流泪心痛的动人故事。平凡中透着几分土气的纯情女孩彩麻，因偶然机缘而遇到了命中注定的帅男孩般君野和郑英奇，由此展开了一段痛彻心扉的情感经历。美轮美奂的彩图、媚惑浪漫的场景，让fans眼花缭乱，被电得七荤八素；纯情凄美的故事，赋予熟悉的情节更新奇的感受，保你看后当场惊成化石。,已完结
7,纯爱二分之一游戏,元秀莲,韩国漫画,"校园,纯爱",JPG,http://images.dmzj.com/webpic/8/纯爱二分之一游戏_第1卷_0001_441d22961566e4372ef395019464476d.jpg,因为一次的英雄救美，柳戴希 - 俊美的高中男孩，变成了不良少年追打的目标﹗进而使他认识了不良少年的头子 - 多异 !!更为自己的未来添加了更多的未知数…,已完结
8,天雷地火,朴山河,韩国漫画,"冒险,武侠",JPG,http://images.dmzj.com/webpic/5/161229tldh.jpg,十二门派年轻人的心都一位名门美女挑动了却都载在了一位来历不名的江湖浪人手上这位年轻的剑客也因此惹上了十二门派他的真正目的为何?还是别有企图?,已完结
9,热血女儿,黄美利,韩国漫画,"欢乐向,校园",JPG,http://images.dmzj.com/webpic/17/24_2404c19883027dc4378b7057227bcf13.jpg,"全国各地的女高中生,如果你有一天进入了一个拥有魔鬼身材,天使面孔的身体里的话,一直以凭着拳头征服全国高中生为理想的明成高中老大姜夏芷,因幽界使者的阴错阳差而错入了亚岚……",已完结
10,薄荷辣滋味,徐银珍,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/7/4_3ede8eb28f99ac378ad24129fcfa1bfb.jpg,"玛丽为了得到易浩,于是帮海伊制造与易治单独相处的机会, 　　为此紧张不已的海伊将会有什么样的惊人之举呢? 　　这又会为海伊与易治,易浩之间微妙的感情战争带来什么样的变化呢?",已完结
11,恶男王子,鲇美凌,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/2/恶男王子_bbdcb6b37f7ec70af3f5db091283e15d.jpg,"未来得到转学许可,能够进入唯有有特殊才能的精英才能入学的超级名校！话虽如此,未来的长处却只有开朗健康。但看在全校住宿制的安全以及学费免费的份上,未来毫不犹豫地转学了！然而,第一天上学,坏心眼的高材生臣就叫她不要来上学,让未来气得抓狂！以至于上了臣的当！？",已完结
12,妖夜回廊,李昭映,韩国漫画,"爱情,神鬼",JPG,http://images.dmzj.com/webpic/12/妖夜回廊_vol02_d3917659228862fa7d377ae009c406e2.jpg,讲的是一个年轻的韩国学生智礼远赴欧洲学习绘画，一个偶然她遇到陌生人威廉，被对方的美丽所吸引，要求对方做自己的模特。 吸血鬼威廉以智礼的少量血液做交换，同意条件，并带智礼回到自己的庄园。 在这里智礼开始了她的新生活，遇到另一个神秘的年轻男子肯和冷漠的女管家伊娃，故事围绕着这几人的关系展开...,已完结
13,冒牌会长脱轨日记,申流河,韩国漫画,"欢乐向,校园",JPG,http://images.dmzj.com/webpic/5/mphz.jpg,少女软豆不小心撞坏别人的车子，由于没钱赔偿庞大的修理费，被逼当上拥有完美的头脑和外貌的失踪会长的替身﹗假装成失忆而闯入校园的软豆︳前路乌云密怖—﹗胡里胡涂的她，能否完美地做好会长的职责呢？冒牌学生会会长左冲右撞的校园莽撞记，被学生会总务部长罗武彬悉破真正身份的了，武彬变得比南极冰河更冷的，因而令软豆心乱如麻﹗就在二人冷战期间，出现了武彬在少年彷徨时期的可怕朋友﹗一阵暴风正在逼近﹗冒牌学生会会长左冲右撞的校园莽撞记第2弹﹗随着真正的超凡魅力学生会长桓理出场，软豆要回到原来的生活了,已完结
14,天天混混,朴山河,韩国漫画,校园,JPG,http://images.dmzj.com/webpic/12/tiantian20180920.jpg,"刚进高中的新生—西门骏,以黑马之姿单挑个社团，引起学长们的不满,后经乐队队长从中干旋而言和，但随即又遭遇罗新高中寻挂，两校的竞争即将展开—！！",已完结
15,向爱爱与烈情发誓,黄淑智,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/4/112_11a90ab491c8170584de8b86033e6852.jpg,爱爱与烈情是双胞胎姊妹，个性完全不同的两个人，竟喜欢上了同一个男孩，虽然是烈情先喜欢上这个男孩的，可是对方似乎对爱爱比较感兴趣…,已完结
16,刀神,徐爽根,韩国漫画,冒险,JPG,http://images.dmzj.com/webpic/16/161229daos.jpg,朝鲜大将军李舜臣与其师兄为了阻止即将来临的国家乱世，背负着寻找三神物的使命，来到日本战国时代的土地上。一场壮烈的斩鬼英雄与智魔阴阳师的阴谋对抗即将展开,已完结
17,"Oh, My浪漫九尾狐",金明美,韩国漫画,"冒险,欢乐向,爱情",JPG,http://images.dmzj.com/webpic/12/ohmylangmanjiuweihu.jpg,"具有完美的外貌，性感的身材，温柔体贴的性格，还有收入颇丰的工作~
这就是极品男友奎浩!
拥有这样男友的智恩准备了他们幸福3周年的纪念聚会
但是聚会当天，奎浩向智恩坦白了一个冲击性的秘密..!!
没有比这更有趣！和心爱的九尾狐惊心动魄的Love Story~♥ ",已完结
18,水神的新娘,尹美庚,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/14/shuishendexinniang.jpg,将纯洁的少女供奉出作为新娘，水神河伯才肯降雨给人类。少女素儿为了因长久干旱而疲惫的村庄和村民，决定要成为河伯的新娘，告别陷入悲伤的家人，藉由活祭品的牺牲、来祈求水神为村庄带来豊沛的雨水，一直以为会就此葬生于河底的素儿，没想到竟然来到水神所居住的世界。当素儿见到水神河伯时，河伯的外貌与想象中是相差太多了，令素儿不禁感到惊讶……一场美丽而又残酷的邂逅开始了！,已完结
19,荷娜小姐，恋爱了,朴熙悦,韩国漫画,"爱情,职场",JPG,http://images.dmzj.com/webpic/0/henaxiaojielove.jpg,有名的装修公司老板，仅28岁就设立公司并使它发展起来，有着超凡的能力和魅力的她——高荷娜 。学习教育学的贫穷高校生，脸上始终保持着天使般笑容的 纯朴的青年——韩贝德勒 。在这个时代仅剩的纯情男韩贝德勒与有着恶魔一样的魅力的精明女王高荷娜的危危险又刺激的罗曼史。,已完结
20,那小子真酷,李永姬,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/6/naxiaozzk.jpg,一个是具有双重人格的酷小子柳承河~一个是超级秀逗的单细胞女孩郑蓝宇~两人之间将上演怎样一场轰轰烈烈的校园之恋？为什么一个完美的资优生转眼却化身为一个玩世不恭的小混混…… ,已完结
21,I-ren,Aivan,韩国漫画,纯爱,JPG,http://images.dmzj.com/webpic/10/iren.jpg," 为了很重要的朋友华兰，莲开始了叫""新娘""的大胆的挑战！以男儿之身为了朋友闯入敌营(?)的莲毫无吝啬地发挥他超级无知的能力，将说不定即将成为新郎的贵族吓跑，连房子也毁得差不多。就这样，这里聚集了3名的新娘候补。但是……！",已完结
22,热狗,崔炳烈,韩国漫画,"热血,校园,欢乐向,格斗",JPG,http://images.dmzj.com/webpic/14/hotdog.jpg,在乡下引起大事件的道奇，不管三七二十一就往汉城逃亡去了。虽然也有遭遇到一点小挫折，但是道奇非常讲情义，又拥有一颗非常纯真的心！為了想要受到女生的欢迎，道奇想进入汉城的第一名校“名门高中”就读。但命运的捉弄下，他进入了恶名昭彰的“名云高中”… ,已完结
23,奉天洞鬼神,虎郎,韩国漫画,"惊悚,神鬼",JPG,http://images.dmzj.com/webpic/4/fengtian.jpg,放学回家遇到灵异的故事,已完结
24,十九岁和二十一岁,zhena/约翰,韩国漫画,"爱情,治愈",JPG,http://images.dmzj.com/webpic/18/shijiusuiheershiyisui.jpg,《油腻的师姐（狂野少女）》作者ZheNa的又一韩式视觉盛宴。 19岁少年和21岁少女，还有一群猫的温情浪漫故事。,已完结
25,惊魂活尸,金砂里/白斋将军,韩国漫画,"惊悚,其他",JPG,http://images.dmzj.com/webpic/0/jinghunhuoshi.jpg,与世隔绝的孤岛上生活着20位老人，他们各个老态龙钟活像个死人。突然有一天，本已死去很久的人浑身爬满蛆虫到处游荡…到底是死人还是活尸。。。,已完结
26,Americano-exodus,박지은(朴智恩),韩国漫画,"冒险,魔法,秀吉",JPG,http://images.dmzj.com/webpic/12/americanoexodusfengmianl.jpg,"Americano-exodus是朴智恩创作的科幻魔幻类漫画。
在这个地下大树根系世界，只有女性可以使用魔法。故事的主角，阿迈尔凯诺·宾斯，很不幸的作为男生出生了。为了完成贵族的义务，阿迈不得不变身为幼年魔力最满时期，伪装成魔法少女(?)来战斗。
故事的主角(男)超级可爱，还有各种属性的美少女。
这是个正经的魔法少年漫!!!",已完结
27,我们的家,谢雨,韩国漫画,"惊悚,悬疑",JPG,http://images.dmzj.com/webpic/6/womendejia.jpg,"完美的他向我求婚了，我以为我是这世上最幸福的人了，但是为什么母亲会不同意呢？为了和他在一起，我们瞒着所有人搬到了一个没人认识的地方，但是为何？奇怪的事情却一直发生在周围？
",已完结
28,人偶歌,李善英,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/17/f4371f510fb30f248403d625cb95d143ac4b03bd1563.jpg,你不想知道自己到底是什么样的存在？时间不多了，你逃不掉，满月之后...你就会死去。被暗黑天空遮住的那天...你就会完全变成我的人。,已完结
29,关于死亡,SeNee/hyeono,韩国漫画,奇幻,JPG,http://images.dmzj.com/webpic/4/gysw614313.jpg,"醒来后发现自己来到了一个陌生的地方<br>
突然被告知“你已经死亡！”<br>
来到死亡后的世界会怎么样呢？<br>
生与死之间，他在那里微笑...",已完结
30,那家伙来啦,李宥银/HYO,韩国漫画,"欢乐向,性转换",JPG,http://images.dmzj.com/webpic/10/0820najiahuolaila.jpg,她还是他？恋人还是哥们？这是个问题,已完结
31,早安宇宙,이수정,韩国漫画,"冒险,欢乐向",JPG,http://images.dmzj.com/webpic/8/1027zaoanyuzhoufm.jpg,八个风子，（快疯掉的）正常人一名，人工智能机器人一台。宇宙船里的共处日常。,已完结
32,爸爸要出嫁？,金秀真/郑一路,韩国漫画,纯爱,JPG,http://images.dmzj.com/webpic/14/babayaochujia.jpg,"带着孩子的单亲爸爸，却不会照顾女儿，
超市以外相遇的男人，买的都是娃娃，是变态？
但是意外相遇的男人很懂小女孩的心思……
被误解了……故事将会怎么发展，我们帅气的年下攻……",已完结
33,剑灵-咒术师的诞生,金正贤,韩国漫画,"格斗,魔幻",JPG,http://images.dmzj.com/webpic/13/0211jianlingfml.jpg,人气网游剑灵的相关漫画，讲述关于咒术师的故事,已完结
34,英秀的春天,李尹希,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/5/yingxiongdechuntianl.jpg,故事简介：无概念无节操屌炸天女色狼! 正当英秀准备投降放弃时又脱变成傲娇卖萌小萝莉?!你这是要闹哪样?!! 男主殿下的玻璃心啊; 碎成渣啊~; 还得捡啊~!! 凸(艹皿艹 ) ,已完结
35,炸鸡启示录,90606a,韩国漫画,搞笑,JPG,http://images.dmzj.com/webpic/18/zjqslfengmianl.jpg,一只爱酒如命的鸡，他的命运之轮开始转动……,已完结
36,风格开启,POGO/HOOPA,韩国漫画,"爱情,职场",JPG,http://images.dmzj.com/webpic/7/fenggekaiqi5l.jpg,申权美，28，有4年经验的购物中心MD，现在上班迟到中...,已完结
37,祈祷,恩松,韩国漫画,"生活,爱情",JPG,http://images.dmzj.com/webpic/8/qidaofengmianl.jpg,"村子最高处的神树里,住着神明,他会倾听人们的祈祷,每天每天从不间断....她,在祈祷着什么？",已完结
38,我的宝蓝,PITO,韩国漫画,百合,JPG,http://images.dmzj.com/webpic/4/wodebaolan.jpg,不管是过去还是现在，你一点都没变，所以大家才会喜欢宝蓝。,已完结
39,她的宠物狗,PITO,韩国漫画,"校园,百合",JPG,http://images.dmzj.com/webpic/13/tdcwg656l.jpg,想陪在她身边，像她的宠物狗一样....,已完结
40,春天刨冰,pano,韩国漫画,百合,JPG,http://images.dmzj.com/webpic/4/chuntianbaobing.jpg,这是一部能让你的表情包充实起来的百合漫。,已完结
41,男和女,hyeono,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/15/nanhenvxinfengmian.jpg,《关于死亡》作者，再次催泪大作，论世间男女情感的纷纷扰扰，每首歌里都有一个故事，每个人心里都驻着一个人……,已完结
42,魔女都市李琳的故事,레드렌,韩国漫画,"百合,魔幻",JPG,http://images.dmzj.com/webpic/4/t3819775mnnldds4160003.jpg,我是李琳，是世界仅剩的四个魔女中的其中一个。 我们魔女是靠着吃自杀的人的遗书生活。..... ,已完结
43,朱丽叶与朱丽叶,이삭,韩国漫画,百合,JPG,http://images.dmzj.com/webpic/0/lsldsmr985l.jpg,韩国百合短篇集。为什么没能吻下去呢！,已完结
44,“宠物”的美学,GaJi,韩国漫画,百合,JPG,http://images.dmzj.com/webpic/3/chongwudemeix.jpg,意犹未尽的百合短篇。,已完结
45,悲谧,姜惠贞,韩国漫画,纯爱,JPG,http://images.dmzj.com/webpic/12/0beimihanman4211.jpg,关于秘密守护者的故事,已完结
46,测试漫画99999999,未知,韩国漫画,"冒险,魔法,搞笑",JPG,http://images.dmzj.com/img/webpic/13/31324931429872311.jpg,,已完结
47,我爱你依旧,张艺西（张艺希）,韩国漫画,"爱情,奇幻",JPG,http://images.dmzj.com/webpic/11/wainy6536l.jpg,穿越时空的爱恋~即将开启！,已完结
48,卖火柴的木偶,레드렌,韩国漫画,悬疑,JPG,http://images.dmzj.com/webpic/10/1maihuochaidehanguoman0.jpg,《魔女都市李琳的故事》作者的短篇作品,已完结
49,琳娜的小金鱼,郑弼元,韩国漫画,"欢乐向,治愈",JPG,http://images.dmzj.com/webpic/19/linnadexiaojinyu.jpg,"只属于孩子们的最纯最真的浪漫，跟着琳娜和小金鱼一起打开那段青涩的记忆吧。
",已完结
50,死亡的终结,全流淏,韩国漫画,"冒险,纯爱,奇幻",JPG,http://images.dmzj.com/webpic/14/siwangdezhongjiefengmianl.jpg,"这个世界有四大种族天空的塞拉茵兹、丛林的巴哝、沙漠的沃茨凕、大海的阔繖。
七年前，天空的塞拉茵兹的圣地被入侵，一件圣物被夺走，七年之后由于圣物的力量会代替持有者付出一次死亡瑟皮欧被找出来了，为了夺回圣物和解除自身的诅咒，瑟皮欧踏上寻找圣物的旅途。",已完结
51,新进职员,菲比,韩国漫画,"纯爱,职场",JPG,http://images.dmzj.com/webpic/19/xjzy98800l.jpg,新进职员需要穿女装？？,已完结
52,这种，勇气,永慕/河杨智,韩国漫画,爱情,JPG,http://images.dmzj.com/webpic/3/zzyq3546546l.jpg,世上最怕女人的男人“李勇气”和有些特别的女人“李秀研”的……,已完结
53,以赛娜之名,佚名,韩国漫画,欢乐向,JPG,http://images.dmzj.com/webpic/2/ysnzm65689l.jpg,韩国LOL同人漫画：以赛娜之名(For Senna),已完结
54,超级机密,EON,韩国漫画,"爱情,奇幻",JPG,http://images.dmzj.com/webpic/12/chaojijimi686l.jpg,超能力？吸血鬼？魔法师？只有恩浩不知道的犬宇的秘密！一般的女大生恩浩和有机密的犬宇的甜蜜可爱的日常~ ,已完结
55,可疑的配方,com（韩）,韩国漫画,纯爱,JPG,http://images.dmzj.com/webpic/0/keyidepeifangfengmianl.jpg,以前会做面包邻居家的小胖子李郑赫大变摸样回来了，而且还喜欢做泰辉最喜欢甜食，可是有什么地方不一样了。,已完结
56,强忍,剪刀,韩国漫画,纯爱,JPG,http://images.dmzj.com/webpic/8/jianduantoufassbl1251.jpg,像剪断头发一样，也剪断了和许多人的联系……,已完结
57,Zelo,全流淏,韩国漫画,"纯爱,热血",JPG,http://images.dmzj.com/webpic/19/160311zelo.jpg,那个为了成为王而出生的人，是为了成为他的忠实部下而努力，还是……与他有更亲近的关系……,已完结
58,狼和熊,翼俐,韩国漫画,"冒险,奇幻",JPG,http://images.dmzj.com/webpic/15/lhx3587l.jpg,魔法师发明家雷诺教授为了抓住凶恶的越狱犯展开了和警卫队的合作。但突然出现的强壮无比的越狱犯却让他的发明束手无策，而他挑衅的微笑也让雷诺脸红心跳！中年强受届第一人翼俐的《狼和熊》的第一个主题《雷诺教授的观察日记》现在开始！,已完结
59,魔物,全流淏,韩国漫画,纯爱,JPG,http://images.dmzj.com/webpic/4/Theimpurecreaturefengmianl.jpg,卡莱尔帝国凭借着强大的对魔物战斗部队在随时随地出现的魔物手中守护了自己的国家，而在对无墨战斗部队中有着仅凭存在就能提升士气的人——他们被称为‘帕拉坎’，时隔五年又有一人被认可成为新的帕拉坎。,已完结
60,火鳞,赵俊熙＆TI／良筑良作,韩国漫画,"格斗,战争,奇幻",JPG,http://images.dmzj.com/img/webpic/0/1014093201464772459.jpg,"绝世高手火鳞遭到徒弟背叛陷入异世界。从昏迷中醒来后发现自己被变成了前凸后翘的大美女？！仇必报，原身必须取回，火鳞以全新的姿态回到了正常世界......
",已完结
61,交界线,Team TEA COZY,韩国漫画,百合,JPG,http://images.dmzj.com/webpic/18/jjx20190619.jpg,逐渐模糊的公私交界线，程序员x助理的反转职场百合物语 ,已完结
62,山丘上的希尔达,아토믹밤,韩国漫画,搞笑,JPG,http://images.dmzj.com/webpic/11/190315sqsdxed.jpg,"两天前希尔达收到一封来路不明的纸条,
到了赴约地后却遭怪蜀黍们绑走,
充满绝望的她，将面临怎样的命运",已完结
63,404小队故事,Copycat001,韩国漫画,欢乐向,JPG,http://images.dmzj.com/webpic/14/404richang20190411.jpg,少女前线同人，404小队的日常。,已完结
64,初阶骑士的故事,VOKE,韩国漫画,冒险,JPG,http://images.dmzj.com/webpic/8/191028cjqsdgs.jpg,在DNF世界观下，一个初阶骑士的故事,已完结
