,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
0,天降贤淑男,小怪 ,https://mhfm8tel.cdndm5.com/39/38427/20170918142258_180x240_22.jpg,苏家袄，作为一个有新思想新地位的新时代少女，最近又是欢...,完结,第129回 天降贤淑男,https://www.dm5.com/manhua-tianjiangxianshunan/
1,老婆大人有点冷,冬漫社＆天津漫神共创 ,https://mhfm6tel.cdndm5.com/53/52494/20190812165637_180x240.jpg,因为家族利益她成为了他的妻子，可在婚后他却说：“我给你...,完结,第123回 各得其所,https://www.dm5.com/manhua-laopodarenyoudianleng/
2,她讨厌我,畅漫 ,https://mhfm5tel.cdndm5.com/40/39198/20171106133013_180x240.jpg,说话从不给人留活路的木讷男主韩宝贝，机缘巧合认识and得罪...,完结,第201回 她还是讨厌我,https://www.dm5.com/manhua-tataoyanwo/
3,绝世妖帝,踏雪动漫 ,https://mhfm9tel.cdndm5.com/45/44908/20190806115824_180x240.jpg,称他为魔，他抚剑横空，一气荡苍穹，比仙更仙！ 道他是佛，...,完结,第150回 未来可期,https://www.dm5.com/manhua-jueshiyaodi/
4,情敌不好惹,很正经工作室 ,https://mhfm1tel.cdndm5.com/39/38081/20170822102633_180x240.jpg,一张裸照引发的血案，一节断指造就的奸情。,完结,第30回 此时不跑，更待何时,https://www.dm5.com/manhua-qingdibuhaore1/
5,把我交给狼主任,光希先生/会火漫画 ,https://mhfm2tel.cdndm5.com/50/49210/20190408163534_180x240.jpg,宅男米小顺在居委会主任吕柳臣的帮助下，他勇敢踏出自己的...,完结,第71回 把我交给米主任,https://www.dm5.com/manhua-bawojiaogeilangzhuren/
6,心之茧,Rosystarling ,https://mhfm6tel.cdndm5.com/49/48282/20190301155613_180x240.jpg,被仇恨驱使的他，开始欺负他，羞辱凌虐他，但他感到的满足...,完结,番外 新年篇（完） ,https://www.dm5.com/manhua-xinzhijian/
7,酷总裁的独家溺爱,艾露艾露工作室 ,https://mhfm4tel.cdndm5.com/45/44303/20180814150724_180x240.jpg,从敌对关系到暗生情愫的两人……,完结,第100回 ,https://www.dm5.com/manhua-kuzongcaidedujianiai/
8,帝少别太猛,云端漫画：K君不想动 ,https://mhfm7tel.cdndm5.com/37/36746/20190610142440_180x240.jpg,富家阔少酒店惨遭被偷拍？！,完结,第334回 圆满（2）,https://www.dm5.com/manhua-dishaobietaimeng/
9,恶魔游戏：调教小甜妻,元气弹漫画 ,https://mhfm2tel.cdndm5.com/43/42316/20180528144036_180x240.jpg,为了补偿父亲欠下的债，她受尽了他的凌辱，她以为坠入了人...,完结,第87回 你怀了谁的孩子,https://www.dm5.com/manhua-emoyouxi-diaojiaoxiaotianqi/
10,王爵的私有宝贝,云端漫画 ,https://mhfm3tel.cdndm5.com/38/37719/20190610145444_180x240.jpg,邪魅狂狷的总裁不是那么好睡哒！,完结,第239回 ,https://www.dm5.com/manhua-wangjuedesiyoubaobei/
11,狂拽小妻,iCiyuan动漫 煞白光壮 ,https://mhfm8tel.cdndm5.com/43/42827/20190605142654_180x240.jpg,姜星尔第一次见到萧庭月，那个话少面瘫、眉目犀利的神秘蓉...,完结,第112回 我们的婚礼（大结局）,https://www.dm5.com/manhua-kuangyexiaoqi/
12,我是他的男盆友,剧能玩/十片瓦 ,https://mhfm1tel.cdndm5.com/48/47167/20190104103313_180x240.jpg,流年不利，许嘉竖自从被迫当了一次隔壁老王，他身边的明基...,完结,第50回 ,https://www.dm5.com/manhua-woshitadenanpenyou/
13,恶魔的宠妻,笑水轩 ,https://mhfm8tel.cdndm5.com/38/37686/20180403180228_180x240_20.jpg,父亲去世，把她和财产都交给了这个男人,完结,第184回 余生拜托了,https://www.dm5.com/manhua-emodechongqi/
14,妹妹消失的第一百天,第一弹App ,https://mhfm7tel.cdndm5.com/38/37708/20180830151259_180x240.jpg,我将我的妹妹杀掉了，并且通过完美的嫁祸手法逃脱了罪名。...,完结,第100回 代价（下）,https://www.dm5.com/manhua-meimeixiaoshidediyibaitian/
15,宠物天王,风炫动漫 ,https://mhfm1tel.cdndm5.com/48/47678/20190920183856_180x240.jpg,招财猫只是传说？幸运猫只是故事？宠物店老板张子安也曾这...,完结,第40回 完结,https://www.dm5.com/manhua-chongwutianwang/
16,亿万总裁缠上我：天价婚约,尚漫 ,https://mhfm3tel.cdndm5.com/48/47223/20190107153516_180x240.jpg,醉酒失身，亲人离世，一连串的打击，摧毁了苏沫的世界。为...,完结,第114回 我们的婚礼（完）,https://www.dm5.com/manhua-yiwanzongcaichanshangwo-tianjiahunyue/
17,我家殿下要挂了,菖尕/Sandro ,https://mhfm6tel.cdndm5.com/41/40621/20191218115444_180x240.jpg,怎样才能推到我家殿下,完结,第252回 ,https://www.dm5.com/manhua-wojiadianxiayaoguale/
18,龙符之王道天下,神居动漫 ,https://mhfm3tel.cdndm5.com/36/35205/20180801173719_180x240_20.jpg,问这苍茫大地谁主沉浮？,完结,第243回 终结,https://www.dm5.com/manhua-longfuzhiwangdaotianxia/
19,倾我一生一世恋,大芒果 ,https://mhfm8tel.cdndm5.com/39/38430/20170918150447_180x240_28.jpg,倾我一生一世念，来如飞花散似烟,完结,第64回 向死而生（下）,https://www.dm5.com/manhua-qingwoyishengyishilian/
20,灼灼琉璃夏,盖亚星人 ,https://mhfm4tel.cdndm5.com/38/37730/20170906175534_180x240_21.jpg,一位桀骜不驯的神秘少女，兼修各系魔法，丝毫不在意羽琉璃...,完结,第143回 心之镇魂曲4,https://www.dm5.com/manhua-zhuozhuoliulixia1/
21,恐怖女主播,柒漫 ,https://mhfm4tel.cdndm5.com/43/42189/20180518184757_180x240.jpg,这个女主播的直播可真是太恐怖了……,完结,第31回 第一季完结,https://www.dm5.com/manhua-kongbunvzhubo/
22,boss哥哥你欠揍,街道童子 ,https://mhfm4tel.cdndm5.com/38/37700/20181229173351_180x240.jpg,这个总裁有点欠,完结,第305回 ,https://www.dm5.com/manhua-boss-gegeniqianzou/
23,代嫁契约,星际互娱 ,https://mhfm7tel.cdndm5.com/47/46911/20181219144717_180x240.jpg,重生后，替害死自己的仇人之女嫁给败坏皇室门楣的断袖王爷...,完结,第39回 终末之声，起始之声,https://www.dm5.com/manhua-daijiaqiyue/
24,皇太子，请收留我吧！,尚漫 ,https://mhfm9tel.cdndm5.com/48/47222/20190107171657_180x240.jpg,穿越变成一只猫是怎样的体验？等等！这剧情发展的不对啊！...,完结,第161回 致亲爱的她（完）,https://www.dm5.com/manhua-huangtaizi-qingshouliuwoba/
25,拒绝暴君专宠：凶猛王妃,开源动漫 ,https://mhfm3tel.cdndm5.com/37/36617/20180719163443_180x240.jpg,天才女特工穿越后第一件事竟是把皇帝给打了,完结,第133回 携手共度,https://www.dm5.com/manhua-jujuebaojunzhuanchong-xiongmengwangfei/
26,王爷想洞房：魅惑王妃,开源动漫 ,https://mhfm8tel.cdndm5.com/40/39749/20171219102428_180x240_25.jpg,每周三、周六更新。“女人，本王一定要征服你!“英明冷酷的...,完结,第63回 登基,https://www.dm5.com/manhua-wangyexiangdongfang-meihuowangfei/
27,雨后的盛夏,小林很幸运 ,https://mhfm2tel.cdndm5.com/39/38085/20190613170158_180x240.jpg,从天而降的守护精灵美少年,完结,第95回 我们的婚礼,https://www.dm5.com/manhua-yuhoudechengxia/
28,雪鹰领主,我吃西红柿 ,https://mhfm2tel.cdndm5.com/39/38620/20180105162027_180x240_22.jpg,为了救回父母，发誓要成为超凡！,完结,第46回 元老会决议（下）,https://www.dm5.com/manhua-xueyinglingzhu/
29,月殇,麦萌漫画 ,https://mhfm5tel.cdndm5.com/43/42233/20180522093621_180x240.jpg,史上最强女主，掰直gay师父,完结,第106回 ,https://www.dm5.com/manhua-yueshang/
30,诸天至尊,掌阅 ,https://mhfm8tel.cdndm5.com/51/50506/20190529104537_180x240.jpg,上古时期，有神人射日，有神女补天，有天帝执掌天地。 那是...,完结,第203回 完结,https://www.dm5.com/manhua-zhutianzhizun/
31,蜀山风流帐,天堂之门-娃娃鱼漫画 ,https://mhfm9tel.cdndm5.com/49/48718/20190605171708_180x240.jpg,命带炮灰体质的剑仁心，喜提修炼秘籍，左手爆娇师妹，右手...,完结,第68回 第一季完结撒花~,https://www.dm5.com/manhua-shushanfengliuzhang/
32,女巫重生记,冰山佼佼 ,https://mhfm2tel.cdndm5.com/39/38082/20190221163452_180x240_26.jpg,我是一个女巫，为了替皇帝续命而被烧死，当我再度醒来的时...,完结,第84回 ,https://www.dm5.com/manhua-nvwuchongshengji/
33,万道成神,触岛漫画 ,https://mhfm4tel.cdndm5.com/40/39028/20171024161151_180x240_28.jpg,九域争天地，一枪定乾坤！一心想要变强的古村少年，踏上漫...,完结,第55回 《万道宝典》,https://www.dm5.com/manhua-wandaochengshen/
34,狼性老公玩刺激,哇坑MM ,https://mhfm6tel.cdndm5.com/38/37772/20170731155656_180x240.jpg,““不要……”她拼命的想推开他，他吻上她的唇，将接下来...,完结,第50回 ,https://www.dm5.com/manhua-langxinglaogongwanciji/
35,锦上香,琦木文化 ,https://mhfm2tel.cdndm5.com/48/47590/20190123155646_180x240.jpg,审美反常的美貌千金公良奈若在母亲的忽悠下，嫁给了具有审...,完结,第23回 最终话,https://www.dm5.com/manhua-jinshangxiang/
36,总裁的蜜宠娇妻,开源漫画 ,https://mhfm2tel.cdndm5.com/39/38863/20171017120503_180x240.jpg,他紧扣住她的手，将她压在身下。 她被长辈算计，送上了前未...,完结,第67回 完美的的祝福,https://www.dm5.com/manhua-zongcaidemichongjiaoqi/
37,玄皓战记（全彩版）,郑多强 ,https://mhfm3tel.cdndm5.com/32/31189/20180316173239_180x240_25.jpg,一场波澜壮阔的圣兽大战,完结,第200回 ,https://www.dm5.com/manhua-xuanhaozhanji-quancaiban/
38,霸道总裁圈爱记,仟绘动漫 ,https://mhfm1tel.cdndm5.com/43/42140/20180516144133_180x240.jpg,男友劈腿结婚，她竟被男友哥哥看上了,完结,第133回 ,https://www.dm5.com/manhua-badaozongcaiquanaiji/
39,多伦多的小时光,云端漫画 ,https://mhfm3tel.cdndm5.com/39/38022/20190610142418_180x240.jpg,老婆本都给了还想走？！,完结,第201回 云开见日（大结局）,https://www.dm5.com/manhua-duolunduodexiaoshiguang/
40,极品辣妈好V5,有鹿文化 ,https://mhfm6tel.cdndm5.com/37/36408/20191021163026_180x240.jpg,辣妈女杀手当卧底也能搞定总裁,完结,第133回 ,https://www.dm5.com/manhua-jipinlamahao-v-5/
41,手机少年,茗卡通·暴雨 ,https://mhfm3tel.cdndm5.com/37/36079/20170830165816_180x240_23.jpg,《手机少年》茗卡通·暴雨所画的长篇漫画，连载于《漫画世界...,完结,第226回 ,https://www.dm5.com/manhua-shoujishaonian/
