,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
0,妖神记,踏雪动漫 ,https://mhfm3tel.cdndm5.com/34/33771/20180727110326_180x240.jpg,妖灵世界，一切才刚开始,连载中,第262回 萧语（下）,https://www.dm5.com/manhua-yaoshenji/
1,妈咪快跑：爹地追来了,绍兴凰漫 ,https://mhfm1tel.cdndm5.com/54/53165/20190902152926_180x240.jpg,阴差阳错的欢爱，她被推向了一个极其神秘尊贵的男人，不得...,连载中,第91回 惊天大逆转,https://www.dm5.com/manhua-mamikuaipao-diedizhuilaile/
2,斗罗大陆,风炫动漫 ,https://mhfm6tel.cdndm5.com/42/41679/20180718114642_180x240.jpg,十年斗罗，重铸唐门辉煌！,连载中,第246回 向上！向前！（1）,https://www.dm5.com/manhua-douluodalu/
3,武道独尊,破界互动 ,https://mhfm5tel.cdndm5.com/55/54278/20191024161326_180x240.jpg,【每周三、六中午12点更新】天元大陆，有大能力者可移山倒...,连载中,第127回 上梁不正下梁歪,https://www.dm5.com/manhua-wudaoduzun/
4,某天成为王的女儿,绍兴凰漫 ,https://mhfm7tel.cdndm5.com/54/53164/20190902152857_180x240.jpg,一场车祸让她穿越到魔法世界，一次比赛又让她被皇帝收养成...,连载中,第95回 这一生何其悲凉,https://www.dm5.com/manhua-moutianchengweiwangdenver/
5,英雄再临（英雄？我早就不当了）,无聊看看天/海螺/SF轻小说 ,https://mhfm6tel.cdndm5.com/35/34637/20170803145312_180x240.jpg,伴随着各种各样的危机与绝望而来的，是人类第一个真正意义...,连载中,第167回 ,https://www.dm5.com/manhua-yingxiong-wozaojiubudangle/
6,元尊,原著：天蚕土豆 ,https://mhfm5tel.cdndm5.com/41/40683/20180917092252_180x240_23.jpg,少年执笔，龙蛇舞动,连载中,停更公告 ,https://www.dm5.com/manhua-yuanzun/
7,驭灵师,时代漫王 ,https://mhfm3tel.cdndm5.com/38/37016/20180804094101_180x240.jpg,爱拖稿的漫画家是会变成光头哒！,连载中,第402回 军演（23）,https://www.dm5.com/manhua-yulingshi12/
8,狂霸战皇,涂山君 ,https://mhfm3tel.cdndm5.com/48/47729/20190318103326_180x240.jpg,天才？废材？备受期待的家族之少主居然觉醒后只爆出来一级...,连载中,第232回 黑森林与黑羽鸟,https://www.dm5.com/manhua-jueshizhanhun/
9,少帅你老婆又跑了,iCiyuan&艾鲁猫 ,https://mhfm9tel.cdndm5.com/40/39446/20190903112740_180x240.jpg,傻白甜如何实现逆袭,连载中,第228回 轻舟亲自下面,https://www.dm5.com/manhua-shaoshuainilaopoyoupaole/
10,至尊神级系统,飞花工作室 ,https://mhfm5tel.cdndm5.com/49/48878/20190829105258_180x240.jpg,地球少年，穿越异世，凭借新闻系统，知天下万事，占夺宝先...,连载中,第230回 背刺得逞？,https://www.dm5.com/manhua-zhizunshenjixitong/
11,桃花宝典,有鹿文化 ,https://mhfm2tel.cdndm5.com/37/36410/20191218115108_180x240.jpg,桃花宝典在手，天下妹子我有,连载中,第288回 那女孩是...,https://www.dm5.com/manhua-taohuabaodian/
12,从今天开始当城主,青葶动漫 ,https://mhfm3tel.cdndm5.com/48/47629/20200103162154_180x240.jpg,当游戏宅男开启穿越Buff，当然是选择搞事！搞事！搞事！御...,连载中,第138回 飞蛾城突围！！,https://www.dm5.com/manhua-congjintiankaishidangchengzhu/
13,星武神诀,踏雪动漫 ,https://mhfm6tel.cdndm5.com/34/33770/20190725100706_180x240.jpg,红颜在侧，修悟道，逆天成王,连载中,公告 ,https://www.dm5.com/manhua-xingwushenjue/
14,至尊神魔,冬漫社 ,https://mhfm3tel.cdndm5.com/57/56455/20200108134403_180x240.jpg,敢藐视哥的人，统统拍死！敢动哥的女人，都已沉眠！神武大...,连载中,第149回 九色魂草,https://www.dm5.com/manhua-zhizunshenmo/
15,九阳神王,掌阅漫画 ,https://mhfm9tel.cdndm5.com/47/46996/20200116151013_180x240.jpg,落魄皇子秦云，得九阳传承，觉醒惊世武魂，习得绝世炼器之...,连载中,第181回 她居然做这种事？,https://www.dm5.com/manhua-jiuyangshenwang/
16,灵剑尊,iCiyuan动漫 留下 ,https://mhfm6tel.cdndm5.com/38/37035/20190729131016_180x240.jpg,天地三界，我为至尊！,连载中,第271回 决战齐天峰,https://www.dm5.com/manhua-lingjianzun/
17,非人哉,一汪空气 ,https://mhfm8tel.cdndm5.com/51/50713/20190605143055_180x240.jpg,据说建国以后妖怪不能成精！那么来一起看看上下五千年来的...,连载中,第527回 ,https://www.dm5.com/manhua-feirenzai2/
18,今天开始做明星,时代漫王 ,https://mhfm8tel.cdndm5.com/38/37011/20200117131355_180x240.jpg,坑弟没商量，男扮女装当爱豆！,连载中,第258回 荆棘玫瑰（06）,https://www.dm5.com/manhua-jintiankaishizuomingxing12/
19,我的微信连三界,iCiyuan动漫&艾鲁猫联合出品 ,https://mhfm1tel.cdndm5.com/42/41712/20180620114227_180x240.jpg,我用微信把生意做到了天庭,连载中,第203回 重塑手臂,https://www.dm5.com/manhua-wodeweixinliansanjie/
20,我不是陈圆圆,时光鱼 ,https://mhfm1tel.cdndm5.com/49/48598/20190701161022_180x240.jpg,现代少女误触时空机缘，流落明朝末年，变身一代名伶陈圆圆...,连载中,第133回 你放开她,https://www.dm5.com/manhua-wobushichenyuanyuan/
21,重生之都市修仙,六月雪 ,https://mhfm9tel.cdndm5.com/51/50312/20190521100809_180x240.jpg,《重生之都市修仙》漫画版由天津大行道动漫漫画团队绘制，...,连载中,第110回 羡慕嫉妒，危险接近,https://www.dm5.com/manhua-chongshengzhidushixiuxian/
22,皇帝陛下的天价宝贝,Amber漫研社 ,https://mhfm5tel.cdndm5.com/58/57426/20200210143221_180x240.jpg,穿越成了国王的小公主？全世界都在重男轻女？大臣可以随意...,连载中,第41回 大咧的孩子其实也敏感,https://www.dm5.com/manhua-huangdibixiadetianjiabaobei/
23,最强枭雄系统,涂山君 ,https://mhfm2tel.cdndm5.com/48/47699/20200213112214_180x240_18.jpg,一场车祸，娱乐城小保安竟穿越到了平行世界的另一个“自己...,连载中,第225回 不堪入目,https://www.dm5.com/manhua-dushixiaoxiongxitong/
24,透视之眼（精修版）,踏雪动漫 ,https://mhfm4tel.cdndm5.com/44/43301/20180719091109_180x240.jpg,率性冲动的平凡少年，一次意外拥有奇特能力的双眼，生活会...,连载中,第247回 ,https://www.dm5.com/manhua-toushizhiyan-jingxiuban/
25,绝世武神,云端漫画：庸亦凡 ,https://mhfm3tel.cdndm5.com/37/36747/20180727114648_180x240.jpg,沉迷开挂，无法自拔,连载中,第314回 朝阳之剑（2）,https://www.dm5.com/manhua-jueshiwushen/
26,捡个校花做老婆,轻漫文化&艾鲁猫 ,https://mhfm5tel.cdndm5.com/48/47083/20191204152834_180x240.jpg,华夏第一战兵罗峰回归都市，成为紫荆中学的最牛插班生！各...,连载中,第77回 当我男朋友吧！,https://www.dm5.com/manhua-jiangexiaohuazuolaopo/
27,重生八万年,掌阅文化 ,https://mhfm8tel.cdndm5.com/52/51529/20190705095204_180x240.jpg,一代强者星尘大帝死于小人之手，意外陨落。醒来时，已是八...,连载中,第54回 逐出学院？,https://www.dm5.com/manhua-chongshengbawannian/
28,逆天剑神,Amber漫研社 ,https://mhfm9tel.cdndm5.com/50/49953/20190509110332_180x240.jpg,泱泱天道，强者无敌，上古丹法，照破山河万朵，焚天宝剑，...,连载中,第155回 血脉图录，举世罕见,https://www.dm5.com/manhua-nitianjianshen/
29,不许拒绝我,火星动漫 ,https://mhfm3tel.cdndm5.com/52/51311/20190625160511_180x240.jpg,【每周六更新】漫画家维权，遭遇对方强势律师，是选择出卖...,连载中,第80回 一个吻,https://www.dm5.com/manhua-buxujujuewo/
30,重生豪门之强势归来,万画筒漫画 ,https://mhfm7tel.cdndm5.com/36/35569/20190809133633_180x240.jpg,既然低调隐忍被欺负，那这次就不可一世吧,连载中,第316回 宴会风波,https://www.dm5.com/manhua-chongshenghaomenzhiqiangshiguilai/
31,兼职神仙,ASK动画 ,https://mhfm3tel.cdndm5.com/47/46959/20181224141540_180x240.jpg,小富即安、脾气惫懒，叶扬天出身名门，却活出了一副韦小宝...,连载中,第166回 拖延时间,https://www.dm5.com/manhua-jianzhishenxian/
