,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址,是否已下载,百度云分享链接,提取码,是否发布
0,死神,久保带人 ,https://mhfm1tel.cdndm5.com/1/79/20190107105038_180x240_14.jpg,除了能够看到灵魂，别无是处的普通高中生——黑崎一护有一...,完结,设定集10 ,https://www.dm5.com/manhua-sishen-bleach/,是,,,
1,火影忍者,岸本齐史 ,https://mhfm6tel.cdndm5.com/1/444/20181129142416_180x240_30.jpg,从小身上封印着邪恶的九尾妖狐，无父无母的鸣人受尽了村人...,完结,657英文版 ,https://www.dm5.com/manhua-huoyingrenzhe-naruto/,是,,,
2,JoJo奇妙冒险,荒木飞吕彦 ,https://mhfm7tel.cdndm5.com/1/539/20181006192408_180x240_18.jpg,一曲歌颂人类的赞,完结,第121卷 ,https://www.dm5.com/manhua-jojo-qimiaomaoxian/,,,,
3,会长是女仆大人,藤原飞吕 ,https://mhfm9tel.cdndm5.com/3/2680/20150330102914_180x240_20.jpg,作为原本是男校的星华高中的学生会长美咲，为了保护女孩子...,完结,婚后特别篇 ,https://www.dm5.com/manhua-huizhangshinvpudaren/,,,,
4,妖精的尾巴,真岛浩 ,https://mhfm4tel.cdndm5.com/3/2027/20180919203618_180x240_24.jpg,魔法师协会分布在全世界各地，那里是魔法师介绍工作和传达...,完结,第545话 无法取代的伙伴们 ,https://www.dm5.com/manhua-yaojingdeweiba/,,,,
5,炎拳,藤本タツキ ,https://mhfm6tel.cdndm5.com/23/22629/20180116111630_180x240_19.jpg,炎拳漫画 ，就因为一个被称为的祝福者 世界被冰雪与饥饿还...,完结,第83话 ,https://www.dm5.com/manhua-yanquan/,是,,,
6,忒修斯之船 ,东元俊哉  ,https://mhfm7tel.cdndm5.com/46/45621/20181012103624_180x240_17.jpg,忒修斯之船漫画 ，1989年6月24日，北海道音臼小学发生投毒...,完结,第89话 最终话·忒修斯之船,https://www.dm5.com/manhua-texiusizhichuan/,是,,,
7,魔王的父亲,田村隆平 ,https://mhfm4tel.cdndm5.com/7/6078/20190108145430_180x240_21.jpg,他，站在血泊中。 杂乱的发丝之下，闪烁着一双疲倦的红色瞳...,完结,第224话 和螃蟹嬉闹,https://www.dm5.com/manhua-mowangdefuqin/,,,,
8,银魂,空知英秋 ,https://mhfm1tel.cdndm5.com/2/1888/20190621092133_180x240_25.jpeg,《银魂》是日本《週刊少年JUMP》 奇幻动作漫画，在江户，因...,完结,第704话 天然卷里没有半个正经家伙,https://www.dm5.com/manhua-yinhun/,是,,,
9,灌篮高手,井上雄彦 ,https://mhfm3tel.cdndm5.com/1/860/20181129152226_180x240_24.jpg,"樱木花道,湘北高校一年级生。在初中有被50个女生连续抛弃的...",完结,第31卷 ,https://www.dm5.com/manhua-guanlangaoshou/,是,,,
10,放学后的故事,五十岚蓝 ,https://mhfm4tel.cdndm5.com/12/11922/20190318164942_180x240_15.jpg,选自五十岚蓝短篇集《Lo-Fi After School》,完结,第1话 ,https://www.dm5.com/manhua-fangxuehoudegushi/,,,,
11,白银之匙,荒川弘 ,https://mhfm7tel.cdndm5.com/8/7786/20191120164942_180x240_23.jpg,因为某些理由不愿归家的少年特意从札幌的重点初中升入北部...,完结,第131话 最终回,https://www.dm5.com/manhua-baiyinzhichi/,,,,
12,灵能百分百,ONE  ,https://mhfm4tel.cdndm5.com/11/10881/20190314211911_180x240_17.jpg,这是属于【灵能力者】的故事！,完结,灵幻07 ,https://www.dm5.com/manhua-lingnengbaifenbai/,,,,
13,家庭教师,天野明 ,https://mhfm8tel.cdndm5.com/2/1442/20181128191942_180x240_28.jpg,人生无望的国中生－阿纲家里，来了一位家庭教师！外表看起...,完结,第409话 再见,https://www.dm5.com/manhua-jiatingjiaoshi/,,,,
14,噬谎者,迫稔雄 ,https://mhfm3tel.cdndm5.com/5/4017/20170509142430_180x240_30.jpg,想要金钱玩乐，所以向地下钱庄借钱的青年?梶，在被追债的时...,完结,49卷附录 ,https://www.dm5.com/manhua-shihuangzhe/,,,,
15,椿町里的寂寞星球,山森三香  ,https://mhfm5tel.cdndm5.com/19/18416/20190605094118_180x240_16.jpg,椿町里的寂寞星球漫画 ，自己的归处，需要自己的那个人。自...,完结,番外篇03 ,https://www.dm5.com/manhua-chundinglidejimoxingqiu/,,,,
16,Detain,KR（krnim） ,https://mhfm6tel.cdndm5.com/34/33282/20190218203402_180x240_2.jpg,欢迎观看Detain漫画,完结,第17话 ,https://www.dm5.com/manhua-detain/,,,,
17,伪恋,古味直志 ,https://mhfm6tel.cdndm5.com/9/8485/20181210095411_180x240_28.jpg,那是很久以前极为珍贵的约定：你拿着锁，我拿着钥匙，将其...,完结,4seasons04 ,https://www.dm5.com/manhua-weilian/,,,,
18,学园孤岛,千叶サドル ,https://mhfm1tel.cdndm5.com/10/9500/20180612112815_180x240_23.jpg,"谁也模仿不了只属于我们的学园生活—————
PS:开始这么...",完结,第78话 明天见,https://www.dm5.com/manhua-xueyuangudao/,是,,,
19,我妻同学是我的老婆,西木田景志 ,https://mhfm9tel.cdndm5.com/11/10227/20181130221921_180x240_25.jpg,一直是我梦中情人的我妻同学，在给我发卡后。。居然变成了...,完结,第98话 ,https://www.dm5.com/manhua-woqitongxueshiwodelaopo/,,,,
20,草莓症候群,柚木こむぎ ,https://mhfm5tel.cdndm5.com/50/49767/20191120103728_180x240_23.jpg,究极恋爱的形态，这是个秘密，不过我爱你。,完结,番外 ,https://www.dm5.com/manhua-caomeizhenghouqun1/,,,,
21,私立禁穿内裤学园,绀野あずれ ,https://mhfm8tel.cdndm5.com/38/37568/20170719095605_180x240_19.jpg,"不管是男生还是女生…全校学生都〝没有穿〞!!!!
学园裡大...",完结,第2卷 ,https://www.dm5.com/manhua-silijinchuanneikuxueyuan/,,,,
22,LAST GAME,天乃忍 ,https://mhfm4tel.cdndm5.com/9/8241/20190505220710_180x240_17.jpg,天乃忍短期新连载开始！！讨厌，在意，讨厌。只有你，是我...,完结,最终卷单行加笔 ,https://www.dm5.com/manhua-last-game/,,,,
23,终将成为你,仲谷鳰 ,https://mhfm7tel.cdndm5.com/19/18289/20181230085237_180x240_23.jpg,那句话与真正的意义，现在我还并不知道，无论何时我都是无...,完结,第45话 ,https://www.dm5.com/manhua-zuizhongwochengweileni/,,,,
24,Monkey Circle,志名坂高次 ,https://mhfm3tel.cdndm5.com/52/51157/20190618233603_180x240_19.jpg,由10人组成的视频制作组，来到了一片茂密的森林。目的是为...,完结,第16话 最终话：森林,https://www.dm5.com/manhua-monkey-circle/,,,,
25,才不会坠入爱情,宫园和泉  ,https://mhfm6tel.cdndm5.com/56/55592/20191205162219_180x240_26.jpg,"体育系女子 VS 正论系男子！
价值观不合拍的二人，
将会...",完结,第13话 怎么会,https://www.dm5.com/manhua-caibuhuizhuiruaiqing/,,,,
26,元气少女缘结神,铃木JULIETTA ,https://mhfm8tel.cdndm5.com/8/7594/20180919210216_180x240_26.jpg,女主角奈奈生因好赌的父亲在欠下一屁股债后离家出走，流落...,完结,恶萝王番外 ,https://www.dm5.com/manhua-yuanqishaonvyuanjieshen/,是,,,
27,光速蒙面侠21,村田雄介 ,https://mhfm2tel.cdndm5.com/1/346/20190103172530_180x240_23.jpg,故事很传统的从一所普通学校开始，因为是讲美式足球，所以...,完结,特别篇02 ,https://www.dm5.com/manhua-guangsumengmianxia-21/,,,,
28,藤原同学说的大抵都对,ヒナチなお ,https://mhfm6tel.cdndm5.com/23/22850/20190917165352_180x240_23.jpg,藤原同学说的大抵都对漫画 ，被大家视為“吉祥物”对待的女...,完结,第44话 ,https://www.dm5.com/manhua-tengyuantongxueshuodedadidudui/,,,,
29,特极囚犯,濑口忍 ,https://mhfm6tel.cdndm5.com/11/10364/20180914181417_180x240_20.jpg,身陷牢狱也要找出真凶！！,完结,第337话 将来,https://www.dm5.com/manhua-tejiqiufan/,,,,
30,未完成的心灵致动,高山忍(高山しのぶ)  ,https://mhfm5tel.cdndm5.com/46/45195/20180917203136_180x240_27.jpg,未完成的心灵致动漫画 ，国家指定笨蛋龍守山吹，第一天就缺...,完结,第26话 ,https://www.dm5.com/manhua-weiwanchengdexinlingzhidong/,,,,
