,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
0,鬼灭之刃,吾峠呼世晴 ,https://mhfm7tel.cdndm5.com/22/21840/20190927092201_180x240_29.jpg,少年与gui的战斗不曾停歇,连载中,第181话 大难,https://www.dm5.com/manhua-guimiezhiren/
1,地缚少年花子君,あいだいろ  ,https://mhfm4tel.cdndm5.com/18/17933/20190801114430_180x240_25.jpg,海鸥学园的奇妙传言之一。据说旧校舍三层女厕所的第三间里...,连载中,第62话 ,https://www.dm5.com/manhua-difushaonianhuazijun/
2,海贼王,尾田荣一郎 ,https://mhfm5tel.cdndm5.com/1/432/20190719155618_180x240_21.jpeg,相传22年前，在一个童话般的世界里，曾经拥有一切的海贼王...,连载中,第971话 釜烹之刑,https://www.dm5.com/manhua-haizeiwang-onepiece/
3,一拳超人,村田雄介 ,https://mhfm9tel.cdndm5.com/11/10684/20180919203310_180x240_27.jpg,主人公埼玉原本是一名整日奔波于求职的普通人。3年前的一天...,连载中,第161话 背后的动静,https://www.dm5.com/manhua-yiquanchaoren/
4,失格纹的最强贤者～世界最强的贤者为了变得更强而转生了～,进行诸岛/肝匠/冯昊 ,https://mhfm1tel.cdndm5.com/39/38247/20191016124904_180x240_26.jpg,为了获得『最适合魔法战斗的纹章』成为最强魔法使，此人将...,连载中,第32.4话 ,https://www.dm5.com/manhua-shigewendezuijiangxianzhe-shijiezuijiangdexianzheweilebiandegengqiangerzhuanshengle/
5,王者天下,原泰久 ,https://mhfm2tel.cdndm5.com/7/6746/20190222150526_180x240_28.jpg,王者天下漫画 ，王者天下漫画是一部历史战争和励志热血漫画...,连载中,第573话 挺身直面之人,https://www.dm5.com/manhua-wangzhetianxia/
6,拳愿奥米伽,サンドロビッチ·ヤバ子  だろめおん  ,https://mhfm3tel.cdndm5.com/48/47515/20190121094437_180x240_21.jpg,将企业之间的竞争，託付给雇用的斗技者进行单挑决胜……那...,连载中,第50话 ,https://www.dm5.com/manhua-quanyuanaomiga/
7,入间同学入魔了,西修  ,https://mhfm7tel.cdndm5.com/36/35720/20200210153908_180x240_28.jpg,无法拒绝任何拜托的老好人铃木入间，是个从1岁开始就踏入社...,连载中,第140话 欢迎回家,https://www.dm5.com/manhua-rujiantongxuerumole/
8,被勇者队伍开除的驭兽使、邂逅了最强种的猫耳少女,茂村モト  深山铃  ,https://mhfm4tel.cdndm5.com/50/49920/20190506223717_180x240_22.jpg,邂逅了最强种的猫耳少女漫画 ，被开除的驯兽师，邂逅了猫耳...,连载中,第25话 ,https://www.dm5.com/manhua-beiyongzheduiwukaichudeyushoushi-xiehoulezuiqiangzhongdemaoershaonv/
9,群聚一堂！西顿学园,山下文吾  ,https://mhfm3tel.cdndm5.com/38/37027/20190314225909_180x240_20.jpg,私立西顿学园——那是间大象与长颈鹿丶狮子与豹等各种动物...,连载中,第103话 燃烧生命（3）,https://www.dm5.com/manhua-qunjuyitang-xiduxueyuan/
10,拳愿阿修罗,三肉必起 ,https://mhfm7tel.cdndm5.com/17/16656/20190219140707_180x240_22.jpg,赌上性命和荣耀的绝命赛！,连载中,第26卷联动番外 ,https://www.dm5.com/manhua-quanyuanaxiuluo/
11,不过是蜘蛛什么的,かかし朝浩 ,https://mhfm8tel.cdndm5.com/22/21821/20181129180705_180x240_22.jpg,让一个女生转生成蜘蛛实在是一件有些残忍的事情，能够接受...,连载中,第42.1话 ,https://www.dm5.com/manhua-buguoshizhizhushenmede/
12,异世界悠闲农家,剑康之 ,https://mhfm5tel.cdndm5.com/40/39083/20181129213907_180x240_23.jpg,异世界悠闲农家漫画 ，和病魔斗争但最终死去的火乐，被神大...,连载中,第102话 ,https://www.dm5.com/manhua-yishijieyouxiannongjia/
