,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
0,行尸走肉,Robert Kirkman ,https://mhfm7tel.cdndm5.com/8/7070/20191016140522_180x240_13.jpg,丧尸是不会灭亡人类的，因为能使人类灭绝的只有他们自己。...,完结,第193话 ,https://www.dm5.com/manhua-xingshizourou/
1,变形金刚：难以置信,IDW ,https://mhfm4tel.cdndm5.com/10/9253/20150420114552_180x240_22.jpg,变形金刚：难以置信漫画 ，2012年主线之一。塞联阵为您带来...,完结,第57话 ,https://www.dm5.com/manhua-bianxingjingang-nanyizhixin/
2,黑暗之夜：金属,DC Comics ,https://mhfm9tel.cdndm5.com/39/38028/20170816220646_180x240_17.jpg,吉他的轰鸣夹杂着金属的碰撞，急促的鼓点伴随着机甲的咆哮...,完结,支线 阴曹地蝠4 ,https://www.dm5.com/manhua-heianzhiye-jinshu/
3,圣·克拉贝拉教团,Hushabye ,https://mhfm9tel.cdndm5.com/58/57203/20200203152821_180x240_12.jpg,墙的那边究竟有什么？PS:本作并非战锤世界观,完结,扩展设定 ,https://www.dm5.com/manhua-sheng-kelabeilajiaotuan/
4,蝙蝠侠,DC Comics ,https://mhfm6tel.cdndm5.com/9/8354/20150415113654_180x240_23.jpg,蝙蝠侠(Batman)是美国家喻户晓的漫画英雄，蝙蝠侠的创造灵...,完结,第52话 ,https://www.dm5.com/manhua-bianfuxia1/
5,秘密战争2015,Marvel Comics  ,https://mhfm7tel.cdndm5.com/18/17116/20150818142348_180x240_28.jpg,秘密战争2015漫画，2015大事件秘密战争危在旦夕。宇宙的结...,完结,“灭”是“灭绝”的灭#2 ,https://www.dm5.com/manhua-mimizhanzheng-2015/
6,爱爱堡,image  ,https://mhfm7tel.cdndm5.com/44/43430/20180725160600_180x240_18.jpg,爱爱堡漫画 ，刺客联盟顶级杀手爱爱堡（没错名字就这么扯）...,完结,第1卷 ,https://www.dm5.com/manhua-aiaibao/
7,漫步苍穹,image ,https://mhfm9tel.cdndm5.com/56/55465/20191130204900_180x240_17.jpg,偶然的某一天，原本的重力发生了改变，自此开始，人们再也...,完结,第15话 ,https://www.dm5.com/manhua-manbucangqiong/
8,正义联盟,DC Comics ,https://mhfm9tel.cdndm5.com/9/8242/20180828210810_180x240_28.jpg,超人、蝙蝠侠、神力女超人、闪电侠、鹰女、火星客和绿超人...,完结,第53话 ,https://www.dm5.com/manhua-zhengyilianmeng/
9,侦探漫画：蝙蝠侠,DC Comics ,https://mhfm4tel.cdndm5.com/9/8291/20180818134342_180x240_24.jpg,侦探漫画Detective Comics是美国最知名漫画杂志之一，并且...,完结,终局特刊 ,https://www.dm5.com/manhua-zhentanmanhua-bianfuxia/
10,丧尸英雄,YYETS ,https://mhfm9tel.cdndm5.com/9/8763/8763_b.jpg,丧尸英雄漫画 ，变异人与人类之间的矛盾一直存在。万磁王为...,完结,第5话 ,https://www.dm5.com/manhua-sangshiyingxiong/
11,终极蜘蛛侠,Marvel Comics ,https://mhfm1tel.cdndm5.com/10/9212/20181105164938_180x240_27.jpg,让我们看看一只小蜘蛛是如何改变彼得.帕克的一生的吧...,完结,第200话 ,https://www.dm5.com/manhua-zhongjizhizhuxia/
12,探险时光,Kaboom! ,https://mhfm8tel.cdndm5.com/18/17551/20150308112253_180x240_35.jpg,探险时光漫画 ，故事发生在一个“大核战之后人类灭绝，魔法...,完结,BMO特辑 ,https://www.dm5.com/manhua-tanxianshiguang/
13,狂笑之蝠,Detective Comics ,https://mhfm7tel.cdndm5.com/47/46777/20181212192924_180x240_21.jpg,正如封面上他的发问——你们想他了没？这世上最可怖的怪物...,完结,第7话 ,https://www.dm5.com/manhua-kuangxiaozhifu/
14,蜘蛛宇宙,Marvel Comics ,https://mhfm5tel.cdndm5.com/16/15677/20181105171341_180x240_22.jpg,蜘蛛宇宙漫画 ，所有平行世界的蜘蛛侠齐聚一堂又到底会发生...,完结,第33话 ,https://www.dm5.com/manhua-zhizhuyuzhou/
15,末日钟声,DC Comics ,https://mhfm8tel.cdndm5.com/40/39468/20181119135528_180x240_22.jpg,尘封三十一年的续篇，铺设两年的悬念。当人类之中的神深陷...,完结,第12话 ,https://www.dm5.com/manhua-morizhongsheng/
16,变形金刚：非同凡响,IDW ,https://mhfm9tel.cdndm5.com/10/9230/20180724223939_180x240_21.jpg,IDW公司出品，2012年两部最新主线故事的大黄蜂篇。汽车人与...,完结,2012年年刊 ,https://www.dm5.com/manhua-bianxingjingang-feitongfanxiang/
