,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
0,瑞克与莫蒂,Rick and Morty ,https://mhfm1tel.cdndm5.com/21/20792/20190314225708_180x240_29.jpg,瑞克与莫蒂漫画 ，疯子科学家Rick Sanchez（Justin Roiland...,连载中,第41话 ,https://www.dm5.com/manhua-ruikeyumodi/
1,黑袍纠察队,Wildstorm ,https://mhfm3tel.cdndm5.com/55/54956/20191118185022_180x240_15.jpg,"《黑袍纠察队》漫画第一期汉化发布！
当超人类不再是身披...",连载中,第8话 ,https://www.dm5.com/manhua-heipaojiuchadui2019/
2,蝙蝠侠v3,DC Comics ,https://mhfm1tel.cdndm5.com/24/23745/20190717211106_180x240_22.jpg,“这是我的城市。我来拯救她。” 被地对空导弹射中的客机即...,连载中,潘尼沃斯安息 ,https://www.dm5.com/manhua-bianfuxia-v-3/
3,丧尸darling,Emilia MG ,https://mhfm5tel.cdndm5.com/47/46615/20190922204956_180x240_16.jpg,丧尸和她的吸血鬼，狼人，幽灵，骷髅朋友们的欢乐日常.一位...,连载中,第46话 ,https://www.dm5.com/manhua-sangshi-darling/
4,不义联盟：人间之神,DC Comics ,https://mhfm8tel.cdndm5.com/11/10893/20181115205905_180x240_25.jpg,不义联盟 人间之神漫画 ，《不义联盟：人间之神》是一款基...,连载中,原爆点05 ,https://www.dm5.com/manhua-buyilianmeng-renjianzhishen/
5,掠夺者,Marvel Comis ,https://mhfm4tel.cdndm5.com/55/54253/20191023232510_180x240_22.jpg,在克拉科建国的欢庆之中，却有一个失意的变种人——幻影猫...,连载中,第7话 ,https://www.dm5.com/manhua-lveduozhe1/
6,颤栗诊所,Merryweatherey  PokuriMio  ,https://mhfm3tel.cdndm5.com/56/55779/20191211151745_180x240_29.jpg,怪诞的城市里，有这样一个诊所，为得了各种疑难怪症的患者...,连载中,第11话 ,https://www.dm5.com/manhua-chanlizhensuo/
7,不朽浩克,Marvel Comics ,https://mhfm6tel.cdndm5.com/51/50445/20190527143300_180x240_19.jpg,恐怖化身为人。这个人平凡无奇，也从不招摇过市。他决不怨...,连载中,第24话 ,https://www.dm5.com/manhua-buxiuhaoke/
8,正义联盟v4,DC Comics ,https://mhfm4tel.cdndm5.com/43/42554/20190708140915_180x240_23.jpg,崭新的时代开始了！史上最强的正义联盟阵容迎战史上最强的...,连载中,第40话 ,https://www.dm5.com/manhua-zhengyilianmeng-v-4/
9,艾玛,touchlife ,https://mhfm4tel.cdndm5.com/40/39215/20180818152347_180x240_14.jpg,可爱的幽灵艾玛校园日常。,连载中,情人节篇 ,https://www.dm5.com/manhua-aima1/
10,磨牙棒,Antarctic Press  ,https://mhfm8tel.cdndm5.com/57/56640/20200115130655_180x240_19.jpg,狄龙·布朗认为他和转校生莉莉·奎斯特成了朋友。但当当地孩...,连载中,第2话 ,https://www.dm5.com/manhua-moyabang/
11,血源诅咒：沉睡的终焉,Titan Comics  ,https://mhfm9tel.cdndm5.com/41/40867/20180223091930_180x240_16.jpg,血源诅咒：沉睡的终焉漫画 ，本漫画改编自同名游戏，玩家们...,连载中,第15话 ,https://www.dm5.com/manhua-xueyuanzuzhou-chenshuidezhongyan/
12,侦探漫画v1,DC Comics ,https://mhfm6tel.cdndm5.com/13/12880/20150422104220_180x240_25.jpg,DC名字的由来，侦探漫画第一期，既精（ji）彩（qing）又好...,连载中,年刊3 ,https://www.dm5.com/manhua-zhentanmanhua-1937/
13,闪电侠V5,DC Comics ,https://mhfm6tel.cdndm5.com/24/23871/20190628203932_180x240_26.jpg,沃利短暂回归后便离开去找泰坦们，闪电侠又成了独行侠，但...,连载中,第88卷 ,https://www.dm5.com/manhua-shandianxia-chongsheng-v-2/
14,冬月,Merryweatherey  MAYUI  ,https://mhfm2tel.cdndm5.com/56/55780/20191211154219_180x240_23.jpg,一个基佬法师与一个碧池牧师在Online RPG里偶然相遇的故事,连载中,第22话 ,https://www.dm5.com/manhua-dongyue/
15,蝙蝠侠v1,DC Comics  ,https://mhfm2tel.cdndm5.com/35/34939/20170126122443_180x240_26.jpg,蝙蝠侠漫画 ，蝙蝠侠（Batman）是DC漫画公司旗下的超级英雄...,连载中,第16卷第4个故事 ,https://www.dm5.com/manhua-bianfuxia-v-11/
16,Grey Matters,Hushabye  ,https://mhfm8tel.cdndm5.com/58/57398/20200207211823_180x240_22.jpg,做圣徒还是母亲，你只能选择一个,连载中,第1话 ,https://www.dm5.com/manhua-grey-matters/
17,彩虹小马G4：友情就是魔法,IDW ,https://mhfm1tel.cdndm5.com/15/14401/20190905094210_180x240_22.jpg,2010年的10月10日，My Little Pony正式推出了G4“Friendshi...,连载中,第85话 ,https://www.dm5.com/manhua-chxm-g-4-yqjsmf/
18,蜘蛛侠与死侍,Marvel Comics  ,https://mhfm3tel.cdndm5.com/22/21652/20160131232559_180x240_30.jpg,蜘蛛侠与死侍漫画 ，蜘蛛侠退出非凡复仇者后，死侍主动找上...,连载中,第40话 ,https://www.dm5.com/manhua-zhizhuxiayusishi/
19,毒液v4,Marvel Comics  ,https://mhfm6tel.cdndm5.com/43/42074/20190615225505_180x240_25.jpg,毒液v4漫画 ，生活一片狼藉的艾迪被神秘的古代噩梦所困扰，...,连载中,第23话 ,https://www.dm5.com/manhua-duye-v-4/
