0,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
1,火凤燎原,陈某 ,https://mhfm7tel.cdndm5.com/1/455/20170809092431_180x240_21.jpg,在汉朝末年，朝廷积弱，天下四方群雄并起。其中有一支自称...,连载中,第527回 末路之将,https://www.dm5.com/manhua-huofengliaoyuan/
3,新著龙虎门,黄玉郎 ,https://mhfm3tel.cdndm5.com/3/2305/20160428194958_180x240_27.jpg,王小虎由大陆来到香港寻找亲人开始，与四小将结为好友，然...,连载中,第967卷 试看版,https://www.dm5.com/manhua-xinzhulonghumen/
4,唐寅在异界,肌肉巴人 ,https://mhfm3tel.cdndm5.com/38/37716/20190610142349_180x240.jpg,异界重生，我的传说时代开启,连载中,第345回 歧路（3）,https://www.dm5.com/manhua-tangyinzaiyijie1/
9,狂女重生：纨绔七皇妃,崇卓漫画 ,https://mhfm2tel.cdndm5.com/45/44371/20180816093642_180x240.jpg,前世她受人欺害，最终丧子身死。如今重生归来，看她如何手...,连载中,第162回 一样的渣男,https://www.dm5.com/manhua-kuangnvchongsheng-wankuqihuangfei/
10,法医狂妃,iCiyuan动漫&恒者工作室 ,https://mhfm7tel.cdndm5.com/43/42854/20181221103335_180x240.jpg,21世纪女法医，一朝穿成京都柳家不受宠的庶出大小姐！ 偶遇...,连载中,第119回  在下不贪女色！,https://www.dm5.com/manhua-fayikuangfei/
11,苏生战铳,马逊 ,https://mhfm4tel.cdndm5.com/22/21334/20170913180857_180x240_21.jpg,史上最强的人形兵器！,连载中,第66回 香港动漫电玩节活动推广,https://www.dm5.com/manhua-sushengzhanchong/
12,总裁的天价萌妻,开源动漫 ,https://mhfm9tel.cdndm5.com/39/38034/20171101203204_180x240_30.jpg,酒醉的她点了一个帅哥。。。,连载中,第176回 空气突然安静,https://www.dm5.com/manhua-zongcaidetianjiamengqi/
13,家兄又在作死,街道童子/莹鹿 ,https://mhfm9tel.cdndm5.com/38/37844/20190610142404_180x240.jpg,中二大神的一百种作死方法,连载中,第311回 ,https://www.dm5.com/manhua-jiaxiongyouzaizuosi/
14,我的控梦男友,云端漫画 ,https://mhfm9tel.cdndm5.com/55/54494/20191108120118_180x240.jpg,一场在滑雪场发生的意外，断送了沈星辰的芭蕾舞之梦，也让...,连载中,第11回 打击,https://www.dm5.com/manhua-zhuozhuoliulixiazhiwodekongmengnanyou/
15,超品透视,踏雪动漫 ,https://mhfm6tel.cdndm5.com/44/43302/20180719091152_180x240.jpg,无名小卒意外获得透视能力？看穿了世间万物却看不透最深人...,连载中,通知 ,https://www.dm5.com/manhua-chaopintoushi/
16,毁童年系列-哆啦B梦,史考特·维森契克 ,https://mhfm7tel.cdndm5.com/15/14385/14385_b.jpg,毁童年系列-哆啦B梦漫画 ，哆啦逼梦是台湾的一个恶搞式的哆...,连载中,第12回 ,https://www.dm5.com/manhua-huitongnianjilie-chila-b-meng/
17,勇者系列,黄色书刊 ,https://mhfm7tel.cdndm5.com/37/36203/20170428083918_180x240_14.jpg,港台漫画家黄色书刊的勇者系列小漫画，一个废材勇者的故事...,连载中,第158回 ,https://www.dm5.com/manhua-yongzhexilie/
18,紫微神谭,作者：凯特动漫 ,https://mhfm1tel.cdndm5.com/48/47047/20181226131436_180x240.jpg,一场车祸带走了十四岁少年方飞的父母，带给了他仇恨和眼泪...,连载中,第57回 莲桥,https://www.dm5.com/manhua-ziweishentan/
19,再造空间,司徒剑侨 ,https://mhfm1tel.cdndm5.com/22/21073/20170908114750_180x240_18.jpg,【《再造空间》官方微博：司徒剑侨-再造空间；官方QQ群：55...,连载中,第68回 段锋,https://www.dm5.com/manhua-zaizaokongjian/
