序号,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址,百度盘地址,提取码,是否发布
1,风云全集,马荣成 ,https://mhfm6tel.cdndm5.com/3/2204/2204_b.jpg,"金麟岂是池中物,一遇风云便化龙 九霄龙吟惊天变,风云聚会浅...",完结,第675卷 草稿画集,https://www.dm5.com/manhua-fengyunquanji/,https://pan.baidu.com/s/1IXlun_GMqem7D1UPy-N55w,ntve,
2,绝代双骄,永仁 ,https://mhfm2tel.cdndm5.com/3/2643/2643_b.jpg,"绝代双骄漫画 ，移花宫主邀月因爱成恨,追杀江枫花月奴夫妇...",完结,第567回 ,https://www.dm5.com/manhua-juedaishuangjiao/,https://pan.baidu.com/s/1wDnYz4gIU31Ca_MKle1ZEg,vct1,
3,春秋战雄,黄玉郎 ,https://mhfm7tel.cdndm5.com/7/6744/20150421152859_180x240_22.jpg,上个星期，玉皇朝2010新作的书名征集活动选出五个候选名额...,完结,第344回 天地再生,https://www.dm5.com/manhua-chunqiuzhanxiong/,https://pan.baidu.com/s/1CMWoz7a__dTcAqFnSzP_DA,k7d2,
4,大唐双龙传,黄玉郎 ,https://mhfm8tel.cdndm5.com/3/2589/2589.jpg,寇仲和徐子陵，原是两个无父无母流浪天涯的小混混，寇仲为...,完结,第252卷 ,https://www.dm5.com/manhua-datangshuanglongchuan/,https://pan.baidu.com/s/1bPa-OpmisVydicsbRaEq4g,ff6t,
5,旧著龙虎门,黄玉郎 ,https://mhfm9tel.cdndm5.com/18/17174/20191216142511_180x240_26.jpg,龙虎门的前身本叫做[小流氓，作者是香港漫画宗师黄玉郎。创...,完结,第1280回 ,https://www.dm5.com/manhua-jiuzhulonghumen/,https://pan.baidu.com/s/1hE6FB1sp7KmDvCRG33Krpg,qk49,
6,神兵玄奇Ⅱ,黄玉郎 ,https://mhfm2tel.cdndm5.com/3/2455/2455.jpg,一百年前肆虐江湖的大魔头「玄天邪帝」重现人世，令中原武...,完结,第100卷 ,https://www.dm5.com/manhua-shenbingxuanqi2/,https://pan.baidu.com/s/1-kGfmD0Y2Xn0VhOY8TRvrg,72b8,
7,四大名捕,司徒剑侨 ,https://mhfm5tel.cdndm5.com/3/2036/20160426100804_180x240_22.jpg,冷血、追命、铁手、无情合称四大名捕。此四人各怀绝技，且...,完结,第371卷 ,https://www.dm5.com/manhua-sidamingbu/,https://pan.baidu.com/s/1R9xravaeRCPk-eNo1bW3yw,bimj,
8,武神,邓志辉 ,https://mhfm1tel.cdndm5.com/2/1726/1726_b.jpg,武神漫画 ，风族武男为光复风族，出外进行艰巨的任务……后...,完结,第300卷 ,https://www.dm5.com/manhua-wushen/,https://pan.baidu.com/s/1ojD2OGf_ZqSgkYjdMUU0jg,jkuc,
9,神兵玄奇3.5,黄玉郎 ,https://mhfm9tel.cdndm5.com/3/2690/2690_b.jpg,神兵玄奇3.5漫画 ，‘前传’为承接第二部故事，依然以南宫...,完结,第111卷 ,https://www.dm5.com/manhua-shenbingxuanqi-3-5/,https://pan.baidu.com/s/1pq0-DkKgGbj518oNMnWqhw,1tgc,
10,老夫子,王泽 ,https://mhfm3tel.cdndm5.com/1/820/820_b.jpg,老夫子漫画内的角色时常以不同的身分出现，包括乞丐、政客...,完结,第70卷 ,https://www.dm5.com/manhua-laofuzi/,,,
11,天龙八部,黄玉郎 ,https://mhfm7tel.cdndm5.com/5/4815/20160907082810_180x240_18.jpg,金庸是武侠小说的王者，黄玉郎是动作漫画的王者，两位合作...,完结,第100回 ,https://www.dm5.com/manhua-tianlongbabu/,https://pan.baidu.com/s/1MtS0oInAtNQ3RlUvACWXjQ,inw2,
12,霸刀,冯志明 ,https://mhfm4tel.cdndm5.com/1/76/76.jpg,飛驚自小在十三吉祥中的十三刀堂跟隨堂主燕十三學刀，希望...,完结,第800卷 ,https://www.dm5.com/manhua-badao/,https://pan.baidu.com/s/10VisBAFSeYe4tf4_uDuFQA,622k,
13,寻秦记,廖福成 ,https://mhfm2tel.cdndm5.com/2/1324/1324_b.jpg,寻秦记漫画 ，《寻秦记》故事开始说男主角“项少龙”是一名...,完结,第196-199卷 ,https://www.dm5.com/manhua-xunqinji/,https://pan.baidu.com/s/17yruDU3iGXEsmvsC5CDEkA,wuue,
14,神鵰侠侣,黄玉郎 ,https://mhfm5tel.cdndm5.com/6/5828/20141210154456_180x240_23.jpg,"故事从杨过被郭靖送往全真教习武开始,杨过个性桀骛不驯,因...",完结,第86回 ,https://www.dm5.com/manhua-shendiaoxialv/,https://pan.baidu.com/s/1pMwoB9C1pHrPA-ZJFVrfTw,p67r,
15,拳皇97,邓耀荣 ,https://mhfm9tel.cdndm5.com/1/642/642.jpg,"KOF97的人气仍然居高不下，虽然被很多高手鄙视……
“我撞...",完结,第13卷 ,https://www.dm5.com/manhua-quanhuang-97-kof-97/,,,
16,我是我妻,乱世银娘 ,https://mhfm7tel.cdndm5.com/34/33895/20180309111617_180x240_22.jpg,时光倒流，秋易变成了女孩子，但是在这个时空，依然有一个...,完结,第115回 ,https://www.dm5.com/manhua-woshiwoqi/,,,
17,大圣王,邱福龙 ,https://mhfm1tel.cdndm5.com/3/2649/2649.jpg,古开辟，三皇治世，五帝定伦，世界之间，遂分为四大部洲：...,完结,第157卷 ,https://www.dm5.com/manhua-dashengwang/,https://pan.baidu.com/s/1J3T659clLT_Yo1qrNrrfVg,v98j,
18,倚天屠龙记,马荣成 ,https://mhfm9tel.cdndm5.com/2/1829/1829.jpg,张无忌、赵敏、周芷若、张翠山、殷素素这些家传户晓的人物...,完结,第100卷 ,https://www.dm5.com/manhua-yitiantulongji/,https://pan.baidu.com/s/1XXMnQB4rRzOZAlI_5afcFQ,925m,
19,龙虎五世第一部,黄玉郎 ,https://mhfm9tel.cdndm5.com/4/3237/3237_b.jpg,龙虎五世第一部漫画 ，六千五百万年以前，主宰着世界的是各...,完结,第100卷 ,https://www.dm5.com/manhua-longhuwushidiyibu/,https://pan.baidu.com/s/17UBfPKKiq99nt-HtBOHZcw,7phm,
20,请别告诉我这是三国正史,黑礁商会房东 ,https://mhfm3tel.cdndm5.com/34/33874/20180408134102_180x240_20.jpg,我莫名其妙手握了一把羽扇，来到了一个与我所知全然不同的...,完结,第126回 ,https://www.dm5.com/manhua-qingbiegaosuwozheshisanguozhengshi/,,,
21,温瑞安群侠传,司徒剑侨 ,https://mhfm2tel.cdndm5.com/7/6072/6072.jpg,温瑞安群侠传是剑桥集合他多年写画经验，独树一帜的个人风...,完结,第93回 ,https://www.dm5.com/manhua-wenruianqunxiazhuan/,https://pan.baidu.com/s/1cmfM50stL6cjTmcOFE0Dww,rw2m,
22,拳皇99,许景琛 ,https://mhfm2tel.cdndm5.com/1/635/635.jpg,关闭 一九九九年----送到世界各地的格斗家面前的一封邀请卡...,完结,第9938卷 ,https://www.dm5.com/manhua-quanhuang-99-kof-99/,https://pan.baidu.com/s/1kWwoK46caaVqJdsyEn07Vg,xakg,
23,拳皇2002,永仁 ,https://mhfm7tel.cdndm5.com/1/641/641.jpg,一千八百年前，就是由草薙京、八神庵及我神乐千鹤的先祖，...,完结,第200255卷 ,https://www.dm5.com/manhua-quanhuang-2002-kof-2002/,https://pan.baidu.com/s/18xCfGNKaLC4Ijhj3ekiZdw,kgte,
24,火云邪神传,黄玉郎 ,https://mhfm3tel.cdndm5.com/8/7172/7172.jpg,火云邪神是新著龙虎门前传，原出自柳残阳的小说《邪神门徒...,完结,第100回 千秋万世最后胜利,https://www.dm5.com/manhua-huoyunxieshenzhuan/,https://pan.baidu.com/s/1rQbEYU2uKBBmn9S-MGY6mA,5zwk,
25,射雕英雄传,黄玉郎 ,https://mhfm1tel.cdndm5.com/4/3778/3778.jpg,大雪纷飞，惊变骤生……位近偏安一隅的临安牛家村，郭杨两...,完结,第100回 ,https://www.dm5.com/manhua-shediaoyingxiongchuan/,https://pan.baidu.com/s/1mM6eBQeYZzIh66KNoIcBJw,nba8,
26,武神凤凰,邓志辉 ,https://mhfm4tel.cdndm5.com/2/1727/1727.jpg,"在武神这部港漫之后的二十万年后, 当时的地球已经残破不堪,...",完结,第138卷 ,https://www.dm5.com/manhua-wushenfenghuang/,https://pan.baidu.com/s/1us1MLLwJO0iUBa27WcJTbw,hz6t,
