,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
0,山海逆战,邱福龙 ,https://mhfm8tel.cdndm5.com/34/33991/20200124021313_180x240_27.jpg,山海世界，人与异兽谁胜谁负！,连载中,第500回 胜负，各安天命（下）,https://www.dm5.com/manhua-shanhainizhan1/
1,女子学院的男生,触岛漫画 ,https://mhfm5tel.cdndm5.com/37/36975/20190806164439_180x240.jpg,男生转入美女如云的女校？！,连载中,第324回 开幕,https://www.dm5.com/manhua-nvzixueyuandenansheng/
2,魂兽纪,牛佬 ,https://mhfm2tel.cdndm5.com/46/45149/20200114101746_180x240.jpg,【首发/每周三、六更新】百年前，花火大陆，魂兽现世。武者...,连载中,第74回 真假难辨（下）,https://www.dm5.com/manhua-hunshouji/
3,新著龙虎门,黄玉郎 ,https://mhfm3tel.cdndm5.com/3/2305/20160428194958_180x240_27.jpg,王小虎由大陆来到香港寻找亲人开始，与四小将结为好友，然...,连载中,第967卷 试看版,https://www.dm5.com/manhua-xinzhulonghumen/
4,狂女重生：纨绔七皇妃,崇卓漫画 ,https://mhfm2tel.cdndm5.com/45/44371/20180816093642_180x240.jpg,前世她受人欺害，最终丧子身死。如今重生归来，看她如何手...,连载中,第188回 娘子军,https://www.dm5.com/manhua-kuangnvchongsheng-wankuqihuangfei/
5,火凤燎原,陈某 ,https://mhfm7tel.cdndm5.com/1/455/20170809092431_180x240_21.jpg,在汉朝末年，朝廷积弱，天下四方群雄并起。其中有一支自称...,连载中,第528回 曹氏双雄,https://www.dm5.com/manhua-huofengliaoyuan/
6,我本废柴,万画筒漫画 ,https://mhfm7tel.cdndm5.com/44/43669/20190226162839_180x240.jpg,【万画筒漫画出品】【每周三、周六更新】被看轻、被退婚、...,连载中,第204回 惩治刁奴,https://www.dm5.com/manhua-wobenfeichai/
7,唐寅在异界,肌肉巴人 ,https://mhfm3tel.cdndm5.com/38/37716/20190610142349_180x240.jpg,异界重生，我的传说时代开启,连载中,第359回 泮水（1）,https://www.dm5.com/manhua-tangyinzaiyijie1/
8,逆转英雄,瑛麒动漫 ,https://mhfm9tel.cdndm5.com/52/51284/20191105090216_180x240.jpg,【首发/每周三、六更新】一场血雨让人类血液变异，一部分人...,连载中,第33回 十面埋伏（上）,https://www.dm5.com/manhua-nizhuanyingxiong/
9,总裁的天价萌妻,开源动漫 ,https://mhfm9tel.cdndm5.com/39/38034/20171101203204_180x240_30.jpg,酒醉的她点了一个帅哥。。。,连载中,第188回 又怀孕了？,https://www.dm5.com/manhua-zongcaidetianjiamengqi/
10,苏生战铳,马逊 ,https://mhfm4tel.cdndm5.com/22/21334/20170913180857_180x240_21.jpg,史上最强的人形兵器！,连载中,第66回 香港动漫电玩节活动推广,https://www.dm5.com/manhua-sushengzhanchong/
11,超品透视,踏雪动漫 ,https://mhfm6tel.cdndm5.com/44/43302/20180719091152_180x240.jpg,无名小卒意外获得透视能力？看穿了世间万物却看不透最深人...,连载中,通知 ,https://www.dm5.com/manhua-chaopintoushi/
12,家兄又在作死,街道童子/莹鹿 ,https://mhfm9tel.cdndm5.com/38/37844/20190610142404_180x240.jpg,中二大神的一百种作死方法,连载中,第311回 ,https://www.dm5.com/manhua-jiaxiongyouzaizuosi/
13,拳皇2000,司徒剑桥 ,https://mhfm7tel.cdndm5.com/1/631/631_b.jpg,"神秘组织N.E.S.T.S.经过《拳皇99》的失败后,就像人间蒸发般...",连载中,第200041卷 ,https://www.dm5.com/manhua-quanhuang-2000-kof-2000/
14,紫微神谭,作者：凯特动漫 ,https://mhfm1tel.cdndm5.com/48/47047/20181226131436_180x240.jpg,一场车祸带走了十四岁少年方飞的父母，带给了他仇恨和眼泪...,连载中,第57回 莲桥,https://www.dm5.com/manhua-ziweishentan/
15,再造空间,司徒剑侨 ,https://mhfm1tel.cdndm5.com/22/21073/20170908114750_180x240_18.jpg,【《再造空间》官方微博：司徒剑侨-再造空间；官方QQ群：55...,连载中,第68回 段锋,https://www.dm5.com/manhua-zaizaokongjian/
16,我的控梦男友,云端漫画 ,https://mhfm9tel.cdndm5.com/55/54494/20191108120118_180x240.jpg,一场在滑雪场发生的意外，断送了沈星辰的芭蕾舞之梦，也让...,连载中,第30回 亲吻,https://www.dm5.com/manhua-zhuozhuoliulixiazhiwodekongmengnanyou/
17,始皇,郑问 ,https://mhfm2tel.cdndm5.com/5/4551/4551_b.jpg,描写开创秦帝国的始皇嬴政，这位富有开创性、性格暴烈，而...,连载中,第1卷 ,https://www.dm5.com/manhua-shihuang/
18,篮球之杀手本色,彩笺 ,https://mhfm3tel.cdndm5.com/47/46603/20181204103627_180x240.jpg,【改编自咪咕阅读小说《篮球之杀手本色》，原著：话板】因...,连载中,第35回 重新上场,https://www.dm5.com/manhua-lanqiuzhishashoubense/
19,铁将纵横,邱福龙 ,https://mhfm9tel.cdndm5.com/53/52315/20190808115244_180x240.jpg,惊奇！琅国第一名将赤杀王为夺宝藏甘愿诈败入牢？一干奇人...,连载中,第39回 ,https://www.dm5.com/manhua-tiejiangzongheng-2019/
20,毁童年系列-哆啦B梦,史考特·维森契克 ,https://mhfm7tel.cdndm5.com/15/14385/14385_b.jpg,毁童年系列-哆啦B梦漫画 ，哆啦逼梦是台湾的一个恶搞式的哆...,连载中,第12回 ,https://www.dm5.com/manhua-huitongnianjilie-chila-b-meng/
21,勇者系列,黄色书刊 ,https://mhfm7tel.cdndm5.com/37/36203/20170428083918_180x240_14.jpg,港台漫画家黄色书刊的勇者系列小漫画，一个废材勇者的故事...,连载中,第158回 ,https://www.dm5.com/manhua-yongzhexilie/
