,漫画ID,标题,作者,封面,内容简介,是否完结,最新章节,是否已收集,百度云分享链接,提取码,是否发布
1,212800,绝品小神医,一直看,https://oss.mkzcdn.com/comic/cover/20191218/5df98e0e4301f-2480x3306.jpg!cover-400,"
              漫画改编自纵横中文网流氓鱼儿的小说《绝品小神医》。校花病了，闪开，让我来！小萝莉病了？让叔叔瞧瞧！王老板癌症晚期？对不起，挂号排队去吧，今晚没空，嫦娥姐姐约了！              ",完结,第279话,是,,,否
2,210333,冷情殿下：捉弄小萌妻,有鹿文化,https://oss.mkzcdn.com/comic/cover/20190923/5d88a9b76c210-750x999.jpg!cover-400,"
              “不许动我妈！”一男一女两个娃，把恶魔少总堵门外。他瞄上的女人，不但被别人占了先，还结了两个果！“偷心贼你给我出来！”面对疯狂咆哮帝，辣妈很纯很无辜……N年前，被无辜污了清白，是她的错吗拜托变态占有狂，她也是受害者好不好！咦这男人肿么和自己儿子有点像莫非……              ",完结,第2季27话,是,,,否
3,210411,王牌校草,有鹿文化,https://oss.mkzcdn.com/comic/cover/20190923/5d8888d148754-746x994.jpg!cover-400,"
              一个跌宕起伏的校园恋爱故事，凌曜和唐茉茉本是命中注定，却相见不相识，他故意阻挠她追求男神，她就专门陷害他被花痴非礼。他们最终能否终成眷属？且看欢喜冤家斗智斗勇，胜者为王，败者？暖床！              ",完结,最终话,是,,,否
4,207874,封神斗战榜,勤兽,https://oss.mkzcdn.com/comic/cover/20180410/5acc1a580c717-730x973.!cover-400,"
              当热血高校遇上西游，当学分碰撞榜上荣耀，当斗战胜佛孙悟空，身边美女环绕……没错，这就是一部高（wu）比（xia）格（xian）的西游校园题材新作~
在傲来国的斜月高中，高冷的嫦娥居然是和蔼可亲的温柔校医，你以为的战五渣队友二师兄和沙师弟，竟是隔壁班的学霸！但这些人，一旦登上了神秘的教育界总部所开设的“封神斗战榜”时，就统统都是你的对手了！还等什么？身边的软妹都已经拿好流星锤在台上候着了！俺老孙来也~              ",完结,第215话 最终章，感谢大家长久以来的支持！,是,,,否
5,43,偷星九月天,潜艇工作室,https://oss.mkzcdn.com/comic/cover/20181206/5c0888b6959f2-600x800.jpg!cover-400,"
              一场爱与梦想的奇妙冒险…… 　　是男仆还是热血的少年侦探？江洋大盗竟是如花美眷？！ 迷雾一层接一层，悬念一环紧接一环，喘不过气了? 黑月铁骑魅影闪现，是兄妹的情谊还是死敌的较量？              ",完结,第459话 未来再见,是,,,否
6,210578,最强神眼,有鹿文化,https://oss.mkzcdn.com/comic/cover/20181217/5c171b80910c7-749x999.jpg!cover-400,"
              他是威震国际的武学宗师，武道神化，十步杀一人他是温文尔雅的古玩大家，赌石赏画，收.藏富可敌国他是鼎鼎大名的玄门高手，能断风水，善察吉凶，让佛道两教共尊。他更是医道圣手，侦察之王，投资奇才!他便是张均，因机缘巧合之下，得到佛陀眼珠舍利，从此遍阅世间美人，傲视天下！              ",完结,最终话,是,,,否
7,212505,诸天纪,神居动漫,https://oss.mkzcdn.com/comic/cover/20180201/5a72b535bd252-600x800.jpg!cover-400,"
              诸天万界之间，有一处名为罗浮的世界，十万年生，十万年灭，世间万物亿兆生灵，便在这二十万年一次的生灭当中沉沦，周而复始循环不休，直到这一年，一个数万年前就已经死去的少年在藏剑阁当中醒来……              ",完结,第一季最终话,是,,,否
8,212236,指染成婚,掌阅漫画,https://oss.mkzcdn.com/comic/cover/20171127/5a1ba632a3150-600x800.jpg!cover-400,"
              一言不合就抽人家皮带？！这个女人，果然引起了男人的注意！只是这套路玩得深，会不会有翻车的危险啊？              ",完结,第215话 你来接我了,是,,,否
9,209596,圣祖,神居动漫,https://oss.mkzcdn.com/comic/cover/20190611/5cff6cdf72d99-750x999.jpg!cover-400,"
              这是一个全新升级的封神世界。 这里有纣王，姜子牙，苏妲己，杨戬都将是全新的定位， 这里有皇者，火云洞三皇； 这里有圣人，道门三清； 这里也有上古神魔，蚩尤，刑天； 这里将有一个名为罗烈的少年，开启一个“我非英雄，却也盖世无双”的新封神时代！              ",完结,最终话 埋葬绝凰院,是,,,否
10,208316,龙符之王道天下,神居动漫,https://oss.mkzcdn.com/comic/cover/20170607/5937d79b7e83b-600x800.jpg!cover-400,"
              故事的主角便是第19皇子古尘沙，他因为一无钱财二无氏族背景支持而不得不依靠装疯卖傻才能苟活性命，但他所不知道的是，在众多的兄弟中，他才是那个唯独拥有龙之息，受上天敕封天子的正统血脉!              ",完结,联动宣传活动,是,,,否
11,212634,我的绝色总裁未婚妻,元气工场|阿里文学,https://oss.mkzcdn.com/comic/cover/20190927/5d8dc8eeeb38c-750x999.jpg!cover-400,"
              神秘高手龙潜花都，与冰山美女总裁签订婚约，但无奈被嫌弃。 可怜的沈浪，只得外出找工作觅食。 不料一个个美女接踵而至，沈浪陷入各种桃运漩涡。 当然，最主要的还是征服冰山女总裁。 不乖？调教一下就好。              ",完结,第218话,是,,,否
12,211192,极品辣妈好V5,有鹿文化,https://oss.mkzcdn.com/comic/cover/20190923/5d888769e83a8-744x992.jpg!cover-400,"
              她是杀手雇佣中心的顶级杀手，谁知被小阿姨下套，将她扔给了陌生男，结果怀上了宝宝。当她想要追问小阿姨孩子的父亲是谁时，小阿姨脚底抹油跑了……六年后，宝宝阴差阳错的被黑夜帝国的人抓走。无奈之下，她只有女扮男装假装成司机潜伏入黑夜帝国老大身边做卧底……              ",完结,最终话,是,,,否
13,208646,血族禁域,AKI.7,https://oss.mkzcdn.com/comic/cover/20181106/5be15681edc19-600x800.jpg!cover-400,"
              讲述了基因克隆的三姐妹朝颜、夕颜、月见发生的一件件事：月见毁容、夕颜变为血仆、朝颜落入血族陷阱、夕颜的迷月引是假的、真的迷月引在月见身上、朝颜与变成茶杯的梵洛伽不知不觉的接吻。朝颜清醒后为变成血仆懊悔不已...一件件悬疑不断的事让三姐妹的命运发生怎样的变化？命运，在迷月引的带领下，又该走向何方……
三姐妹是否经受的起命运的轮回，蜕变成长？
在血族的魔掌下，我们是那么的渺小。但是我们在不断努力，总有一天，世界会因我们和平安宁。              ",完结,第435话 决裂3,是,,,否
14,208642,妃夕妍雪,食人鱼,https://oss.mkzcdn.com/comic/cover/20181213/5c11f2784fb90-750x999.jpg!cover-400,"
              秦淮河烟花女子和鄂硕生了一个女儿凉夕，官员原配夫人去世后才接凉夕母子回府，府中有一对儿女，女儿玉妍，儿子费扬古。玉妍害怕凉夕夺走父亲的爱，命下人把凉夕卖到青楼，阴差阳错结果被人利用成了花妖傀儡，幸好被费扬古救回，凉夕琴棋书画样样精通，玉妍更加妒忌她。本漫画讲叙了一个华丽的宫廷故事，在那弥漫着胭脂风月的紫禁城中，爱与奇迹涌动的深宫物语。              ",完结,最终话2 岁月静好,是,,,否
15,209945,恶魔总裁的祭品新娘,漫客文化,https://oss.mkzcdn.com/comic/cover/20181206/5c0918761c878-750x999.jpg!cover-400,"
              【每周三、六更新】楚木槿的哥哥带着千金小姐陆明月私奔，来不及逃走的她被陆明月的未婚夫林城尧抓住，从而开始了她悲惨的99天契约情人的生活…… 专制霸道的林城尧、温柔的顾廷之，在这两个男人之间纠缠的楚木槿，发现自己怀孕了……              ",完结,第215话,是,,,否
16,212076,冷酷总裁的夏天,Ego爱鸽,https://oss.mkzcdn.com/comic/cover/20181012/5bc00ae4cac3f-600x800.jpg!cover-400,"
              入职第一天欠下四百万？！职场元气新人与冷酷总裁将要发生陨石撞地球的故事啦！              ",完结,第121话,是,,,否
17,212938,王妃的婚后指南,哔次元漫画,https://oss.mkzcdn.com/comic/cover/20180714/5b495ae7883fd-600x800.jpg!cover-400,"
              她，是现代顶尖王牌杀手。一朝穿越，重生为废材且不受宠的前镇北候嫡女。
什么？现任相公是连当朝皇上都忌惮，还是本国第一强者，让所有男人闻风丧胆，让所有女人都痴心若狂的明王殿下？
成婚两年，从未谋面？谁说婚后生活要墨守成规？              ",完结,公告 上架时间延后通告,否,,,否
18,209370,不嫁总裁嫁男仆,万画筒漫画,https://oss.mkzcdn.com/comic/cover/20180622/5b2c97111321c-600x800.jpg!cover-400,"
              【万画筒漫画出品】【每周四、每周日更新】一场来自于妹妹精心策划的算计，让她身败名裂；未婚夫被抢，还要被迫嫁给一夜情的对象。什么？原来她老公是……              ",完结,最终话,否,,,否
19,212851,最强农民工,仟绘动漫,https://oss.mkzcdn.com/comic/cover/20180625/5b30921225823-600x800.jpg!cover-400,"
              一个小小的维修工李青，原本过着普普通通的打工生活，却莫名的被牵扯到大家族的斗争中，而他本人的背后却有着惊天的秘密！！！---漫画改编自纵横中文网同名小说。              ",完结,第213话 回到维修部,否,,,否
20,212612,一纸宠婚,旷盛动漫,https://oss.mkzcdn.com/comic/cover/20180626/5b31e6d57150a-600x800.jpg!cover-400,"
              结婚数月，老公默默付出却从不露面，与此同时，突然闯入自己生活的霍庭深也对自己展开了热烈的追求。一面是对自己温柔体贴，却一直无法相见的“丈夫”，一面是朝夕相处，日久生情的霍庭深，她将作何选择……              ",完结,最终话 躲起来,否,,,否
21,212852,桃运小神农,仟绘动漫,https://oss.mkzcdn.com/comic/cover/20181210/5c0e51b2c779f-750x999.jpg!cover-400,"
              唐都大学药植系毕业生弈峰励志通过种植丹参帮乡亲们致富，自然条件的原因令他不知所措，在面对黑道和乡亲们的压力之下，机缘巧合的小神农获得了神秘的力量，成为了他重要的转折点，在与邻家女孩、初恋女友和药店老板的女儿展开了不同的桃运，他又将如何选择？              ",完结,第222话 示威,否,,,否
22,210337,帝豪老公太狂热,樱前线动漫,https://oss.mkzcdn.com/comic/cover/20170929/59cdaa02e1e52-597x797.jpg!cover-400,"
              被渣姐和男友算计，她和陌生男人纠缠一夜，却不料这个男人再次出现……她双手护住自己陪聊一百，陪吃一百，拒绝特殊服务。男人捏住她的下巴穿上衣服，就不认识我了              ",完结,第82话 呜呜呜，你又咬我了,否,,,否
23,209329,诸天至尊,掌阅科技,https://oss.mkzcdn.com/comic/cover/20170621/5949cead47d2a-600x800.jpg!cover-400,"
              在所有人眼里他是痴迷声色犬马风花雪月的纨绔子弟，在失踪三年后突然出现，表面依然声色犬马风花雪月，背后却隐藏着一股神秘的力！本作品包含了言情、打怪、宫斗、探险、二次元、等于一体，故事紧凑画面华丽，带你打怪追美女！              ",完结,最终话 完结篇,否,,,否
24,212816,妖道至尊,乐游映画,https://oss.mkzcdn.com/comic/cover/20191021/5dada594ea11d-750x999.jpg!cover-400,"
              妖皇再现！一个傻子驸马，摇身成为妖皇，妖诀，元诀双修，妖凛天下！踩小人，招小弟，揽美人，成就最强妖道之路！              ",完结,第1季最终话 完结篇,否,,,否
25,208698,奇怪的苏夕,傅伯涛,https://oss.mkzcdn.com/zymkcover/000/000/104.jpg!cover-400,"
              曾经的天之骄女，如今的破产女孩，一个身体，两个灵魂……坠楼少女死而复生的秘密，只在最恐怖的164鬼楼内……              ",完结,最终话 幽灵与小夕3,否,,,否
26,211730,霸道总裁圈爱记,仟绘动漫,https://oss.mkzcdn.com/comic/cover/20180711/5b455c74e6fda-2894x3858.jpg!cover-400,"
              周小楠一直深爱的男友要结婚了，新娘不是她，在她大闹婚礼现场的时刻，却被新娘的哥哥一见钟情？              ",完结,第133话,否,,,否
27,212063,国民老公带回家：偷吻55次,三福互娱,https://oss.mkzcdn.com/oss_comic/国民老公带回家/cover.jpg!cover-400,"
              “不许公共场合碰我。” “不许公开说我是你妻子。” “不许让人知道我跟你住在一起。” 陆瑾年和安好因为父母之命被迫结婚，安好以为他们的婚姻，就是人前冷漠，人后缠绵。 所以，新婚之夜，她跟他一开口就连续说了三个不许…...她曾经爱了他整整十三年，他也同样，但是，他们并不知道彼此都深爱着对方.......              ",完结,最终话,否,,,否
28,208697,三眼哮天录,刘飒,https://oss.mkzcdn.com/comic/cover/20181106/5be1553bad82f-600x800.jpg!cover-400,"
              性别男，身份是天神。貌似跟孙悟空的交情不错。阴差阳错的接下投胎下凡去除妖的任务。武器是方天画戟，威力非常强大，连玉帝的剑都不怕。装备为风雷摩托。 常常被自己的狗鄙视。但是干起架来很威风！              ",完结,第2季序章,否,,,否
29,211769,盘龙,童亦名,https://oss.mkzcdn.com/zymkcover/999/mh/7099.jpg!cover-400,"
              根据我吃西红柿热门网络小说《盘龙》改编，盘龙漫画本站连载中！在盘龙漫画中有小山一般大小的血睛鬃毛狮，力大无穷的紫睛金毛猿，毁天灭地的九头蛇皇，携带着毁灭雷电的恐怖雷龙……这里无奇不有，这是一个广博的魔幻世界。强者可以站在黑色巨龙的头顶遨游天际，恐怖的魔法可以焚烧江河，可以毁灭城池，可以夷平山岳……，盘龙漫画讲述了一个拥有盘龙戒指的少年的梦幻旅程。              ",完结,第170话 最终话,是,,,否
30,212244,魔妃嫁到,掌阅漫画,https://oss.mkzcdn.com/comic/cover/20180322/5ab326de8b8cd-593x791.!cover-400,"
              她一个万众瞩目的歌坛巨星，竟然穿越到这妖魔横生的异世，季绯儿无语凝噎。成为魔界帝君的三千小妾之一，她认了！夫君竟然把她当做别的女人的替身，她也忍了！只因画面太美，她忍不住，美男花下死，做鬼也风流……              ",完结,番外2,否,,,否
