,漫画ID,标题,作者,封面,内容简介,是否完结,最新章节
0,49733,斗破苍穹,任翔,https://oss.mkzcdn.com/comic/cover/20180412/5acebcc67f6f0-600x800.!cover-400,"
              这是一个属于斗气的世界，没有花俏艳丽的魔法，有的，仅仅是繁衍到巅峰的斗气！在斗气大陆上，真正的强者都是用实力说话的！              ",连载中,第832话 本源之火（下）
1,211692,斗罗大陆2绝世唐门,唐家三少,https://oss.mkzcdn.com/comic/cover/20180817/5b76248a0e889-600x800.jpg!cover-400,"
              斗罗大陆2绝世唐门简介这里没有魔法，没有斗气，没有武术，却有武魂。唐门创立万年之后的斗罗大陆上，唐门式微。一代天骄横空出世，新一代史莱克七怪能否重振唐门，谱写一曲绝世唐门之歌百万年魂兽，手握日月摘星辰的死灵圣法神，导致唐门衰落的全新魂导器体系。一切的神奇都将一一展现。唐门暗器能否重振雄风，唐门能否重现辉煌，一切尽在绝世唐门！！              ",连载中,停更公告
2,207622,妖神记,踏雪动漫,https://oss.mkzcdn.com/comic/cover/20190923/5d888451be034-746x994.jpg!cover-400,"
              妖神一出，谁与争锋？ 这是一个妖灵的世界，融合了妖灵，就可以成为强大的妖灵师。 因为一本时空妖灵之书，时空发生了扭转，当一切重新开始之时，命运之轮缓缓转动。              ",连载中,第263话2 红色宝珠
3,208644,凤逆天下,桔子茶,https://oss.mkzcdn.com/comic/cover/20181207/5c0a418624f8d-750x999.jpg!cover-400,"
              她，长公主府唯一的嫡女，却是举国皆知的废物！ 当清冷的眸子睁开，她已是21世纪最危险的天才杀手！翻手为云，覆手为雨！ 当病秧子小姐展露锋芒，惊才绝艳，天下无数男女为之倾倒…… 他是绝色的暗夜之王，冷血无情，乱世中和她相逢，一曲琴箫合奏，自此天上地下，生死相随。              ",连载中,第366话 玄蛇阴后3(2)
4,209107,武动乾坤,天蚕土豆 神漫,https://oss.mkzcdn.com/comic/cover/20180724/5b56948537a4b-600x800.jpg!cover-400,"
              大炎王朝天都郡炎城青阳镇，落魄的林氏子弟林动在山洞间偶然捡到一块神秘的石符而走上的逆袭之路。
修炼一途，乃窃阴阳，夺造化，转涅盘，握生死，掌轮回. 武之极，破苍穹，动乾坤！              ",连载中,停更公告
5,211189,姻缘宝典,有鹿文化,https://oss.mkzcdn.com/comic/cover/20181218/5c18b62d4a78a-750x999.jpg!cover-400,"
              林枫意外得到一本桃花宝典，学习到各种超能力，从此尝尽人间精彩，遍阅天下风云，傲视群雄！              ",连载中,第289话
6,208670,风起苍岚,松鼠200,https://oss.mkzcdn.com/comic/cover/20200110/5e182f3a506f3-743x991.jpg!cover-400,"
              一个是叱咤仙路的风云上神，一个是废材资质修真菜鸟，当网游遭遇修真，还有什么是不可能的呢？
昔日等级榜第一大神跌落云端，废柴医师掉进修真世界。小小菜鸟又该如何一步一个脚印，攀上这云海尽头，苍岚之巅？萌兽or美男？仙术or神通？丹药or法宝？修真菜鸟的逆袭日记从现在开始书写！即使大道无情，艰险丛生，萌妹子也要闯出一片天！              ",连载中,第2季9话 变身参赛3
7,211471,绝世武神,云端漫画,https://oss.mkzcdn.com/comic/cover/20170824/599e35b1101a9-420x560.jpg!cover-400,"
              武道，决定命运，决定生死，弱者，受人欺凌，强者，俯瞰天下。这是一个恃强凌弱的世界，人们以武道修为来定等级论高低。各大门派为了争夺最强之名，一直明争暗斗。在这里，只有强者有权利生存下去，即使是同族同门之人，若是实力弱小，也只有被驱赶欺凌的下场。              ",连载中,第105话3 朝阳之剑
8,209306,女子学院的男生,触岛漫画,https://oss.mkzcdn.com/comic/cover/20190927/5d8dbe565768c-750x999.jpg!cover-400,"
              美女如云的女校，突然转来一个男生！！！或许在其他人眼里这是一个梦幻的天堂，可事实上，却是个无法想像的未来......根据酷匠网同名小说《女子学院的男生》改编              ",连载中,第326话 白给比赛
9,207727,星武神诀,踏雪动漫,https://oss.mkzcdn.com/comic/cover/20180820/5b7a2d45e8ba8-600x800.jpg!cover-400,"
              一个逆天强者的撼世之路，红颜在侧，修星武传承，掌八方权柄，成就至高神王！温柔可爱的天才少女，火辣奔放的郡主.神秘的妖族美女还有传说中的至高女武神，一个不一样的悟道之路，一段不一样的传奇！              ",连载中,第321话
10,210839,斗罗大陆3龙王传说,穆逢春 唐家三少,https://oss.mkzcdn.com/zymkcover/999/mh/86080.jpg!cover-400,"
              伴随着魂导科技的进步，斗罗大陆上的人类征服了海洋，又发现了两块大陆。魂兽也随着人类魂师的猎杀无度走向灭亡，沉睡无数年的魂兽之王在星斗大森林最后的净土苏醒，它要带领仅存的族人，向人类复仇！唐舞麟立志要成为一名强大的魂师，可当武魂觉醒时，苏醒的，却是。。。。。。，旷世之才，龙王之争，我们的龙王传说，将由此开始。。。。。。              ",连载中,停更公告
11,211872,武神主宰,踏雪动漫,https://oss.mkzcdn.com/comic/cover/20190923/5d8883bc7f466-750x999.jpg!cover-400,"
              天武大陆一代传奇秦尘，因好友背叛意外陨落武域。 三百年后，他转生在一个受尽欺凌的王府私生子身上，利用前世造诣，凝神功、炼神丹，逆天而上，强势崛起，从此踏上一段震惊大陆的惊世之旅。              ",连载中,第366话
12,210524,中华神医,极光动漫,https://oss.mkzcdn.com/comic/cover/20181130/5c00fdb8a3d38-600x800.jpg!cover-400,"
              神秘少年林昊应聘于一个诊所做小医生，绝世医术加上刚强个性，打破了小诊所的冷清肃条，给驴友做手术，给村长治癌症，给瘾君子戒毒，给村民们医治各种奇难杂症，小村医一炮而红，无数身份背景雄厚又身患病痛的患者慕名前来，小村医也因此风声水起。金鳞岂是池中物，一遇风云便化龙，且看林昊如何演绎传奇人生！              ",连载中,第372话 再遇巢华丽
13,212234,元尊,未天传媒,https://oss.mkzcdn.com/comic/cover/20171128/5a1d1363e3186-597x796.jpg!cover-400,"
              主人公周元，为周朝皇子天生圣龙气运。因一道预言，气运被夺身中剧毒，经脉被锁无法修炼。背负国仇家恨，周元没有被这种困境摧毁，而是靠着坚强意志重开八脉，在家族存亡的危机时刻强势崛起。未来路漫漫兮，天生大才注定不凡的少年将在修行路上继续铿锵前行…              ",连载中,公告 停更公告
