,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结,漫画地址
0,青空下的约定,シロガネヒナ,日本漫画,"爱情,校园,后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/26/12696.jpg,青空下的约定漫画 ，离本州稍远一点的一个小岛，在那个小岛的高地上有主人公星野航所进修的学校。由于岛上产业的衰退，学生数量一年不如一年。在学校附近由旧校区改建而成的宿舍里只剩下了主人公和女主角们。与不知为何在这个时期转学来的新朋友过着喧闹而又快乐的时光,已完结,http://www.ccdm13.com/manhua/17817/
1,神是中学生,鸣子ハナハル,日本漫画,"东方神鬼,治愈,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/26/12774.jpg,神是中学生漫画 ，一名平凡无奇的国中生 ── 一桥友里惠，某一天竟然意外获得神力，化身为神明！身兼神明与国中生二职的她，不但要替人们实现愿望，还得参与神社或镇上的例行活动。小小年纪的她，是否真能胜任如此神圣的工作！?,已完结,http://www.ccdm13.com/manhua/17736/
2,银翼超人,桂正和,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/26/12813.jpg,银翼超人漫画 ，主角捡到一个女生加一本笔记，就在上面画上了自己最喜欢的“银翼超人”，不想这是一本可以把写在笔记上的事变为现实的“梦幻笔记”，而捡到的少女答应把笔记给主角，条件是她要监视他的行动。到这里大家可以看到眉目的吧！没错！就是那样~~梦幻笔记与死亡笔记，小葵与琉克……,已完结,http://www.ccdm13.com/manhua/17698/
3,我的妹妹不可能那么可爱,伏见つかさ&池田樱,日本漫画,"搞笑,后宫,高清单行本,轻小说",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/3/1181.jpg,"我的妹妹不可能那么可爱漫画 ，改编自同名轻小说。哥哥高坂京介17岁，妹妹高坂桐乃14岁(中学生啊= =+)。最近几年，两兄妹之间的关系变得冷淡起来。不知道从什么时候起，桐乃看见哥哥，不仅连招呼也不打，而且目光轻蔑，就好像看见什么糟糕物一样。这种关系本以为会一直持续下去。但，自从某一日，京介发现落在家门口的，这个高坂家不可能有人看的一盒魔法少女动画DVD「星之碎片☆巫女梅露露」后，事态发生了180°转变！更糟糕的是，那盒DVD里面装的并不是「星之碎片☆巫女梅露露」的DVD，而是18X游戏「跟妹妹谈恋爱吧」。觉得事有蹊跷的京介，在晚饭的时候围绕「星之碎片☆巫女梅露露」的话题试探家里人。父母的表现果然如京介所料，非常坚决地否定了所谓的御宅族。特别是作为警察官的父亲更是对御宅族持有强烈的偏见。自此之后数日，一直以来连招呼都没有一个的桐乃突然闯入京介的房间要跟他说“人生大事”！她坦白对于没办法跟别人说自己超喜欢激萌动画和妹萌的美少女游戏而感到非常困惑
　　>>点击进入我的妹妹不可能那么可爱专区点击进入妹控专题",已完结,http://www.ccdm13.com/manhua/17246/
4,同班同学,柴门文,日本漫画,"爱情,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/25/12039.jpg,"同班同学漫画 ，对于回忆, 人总是美化了过去或得不到的人或事。面对着时间的洪流, 人感到渺少而无助。本书描写已毕业的同学们重聚, 发觉每个人的生活及前路均有很大的差异",已完结,http://www.ccdm13.com/manhua/17224/
5,爱丽丝四重奏,藤枝雅&源久也,日本漫画,"搞笑,萌系,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/24/11926.jpg,爱丽丝四重奏漫画 ，四位服装设计师在「Alice Quartet」这家名牌服饰店工作，她们热爱设计、装饰服装，以黑与白為基本色调企求能设计出给予少女们梦想的衣服，同时也能实现自己心中理想的独一无二的衣服。主角们在设计衣服的过程中，不断地自我成长，体验同伴间友情的温馨以及带给顾客们幸福的快乐。故事中，这四位服装设计师个性截然不同，服装设计风格也迥异。虽然同在名為「Alice Quartet」的店内工作，但她们各自拥有自己独特的风格，互不衝突互不排斥。透过「Alice Quartet」这家店，她们的存在宛如一首优美动人的曲子，四个不同的音色在「Alice Quartet」裡，忽远忽近地唱和著。 (c) MooNPhase (c) Miyabi FUJIEDA．Hisanari MINAMOTO 2008 藤枝雅： 插画与漫画作品横跨同人与商业誌两方，除了参与同人社团发行同人誌外，商业作品方面的题材则多以百合系（女女）為主。本书目前已於季刊《电击帝王》连载完结。 源九也：日本作画老师。,已完结,http://www.ccdm13.com/manhua/16995/
6,手冢治虫猫杰作集,手冢治虫,日本漫画,"冒险,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/24/11796.jpg,手冢治虫猫杰作集漫画 ，此书共收录了7个人猫故事，手冢治虫将人性感情注入每个猫猫世界：一只天生不爱吃老鼠的小猫，巧遇老鼠王国的公主，为了助牠复国，决心与鼠为伴勇斗奸臣；一只流浪猫被一对相依为命的父女收养，及后父女惨遭恶人杀害，猫儿遂化身为主人之女，为他们报仇雪恨。还有怪医秦博士和小飞侠阿童木的粉墨登场，为您献上最奇幻的猫世界故事！,已完结,http://www.ccdm13.com/manhua/16906/
7,麻吉小俩口,加贺美文绪,日本漫画,"爱情,校园,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/24/11628.jpg,麻吉小俩口漫画 ，史子从小跟古贺就是一对青梅竹马，不过因為小学时古贺个子比史子高，而如今到了高中反而被史子超越，这一点让两个人心裡始终有个疙瘩，甚至造成史子在古贺面前总是习惯性驼背，所以常常成了好友小雪嘲笑的对象。虽然史子个子高，却对运\\动不是很在行，偏偏同学都要找她加入篮球队或是排球队，只是每次输球之后，又把错全都推到她头上...... 本书算是温馨小品的故事，讲的是高中生纯纯的爱，对彼此都有感觉却又不敢开口，还因為身高的缘故而有所顾忌，看了令人不禁莞尔,已完结,http://www.ccdm13.com/manhua/16588/
8,四季庄青春恋曲,かなりあ由歌,日本漫画,"后宫,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/24/11643.jpg,四季庄青春恋曲漫画 ，佐藤健太在国中时代，因为「肥胖」、「不起眼」、「阴沉」而一直被别人看不起。但因为这点小事就让人生结束，总觉得有点愚蠢，於是佐藤便努力用功面对考试，也减肥，并换上隐型眼镜，展开期望的独居生活。本来的预定应该是要在「四季庄」过着彩色的生活…但是这在这裡的住户，竟然全都是一些怪人…,已完结,http://www.ccdm13.com/manhua/16563/
9,神鬼名医 元马,富沢顺,日本漫画,"冒险,职场,高清单行本",JPG,http://ccimg.ufo001.com:8088/sinmh/comic/cover/22/10967.jpg,神鬼名医 元马漫画 ，円马光也——因为医术精湛、开刀手法俐落，而被人称为“光速外科医师”！这样风光的他却为了拯救妹妹而违反药事法而被捕入狱。原以为他的医生生涯即将就此打住，没想到某天 一个自称是他妹妹的黑衣护士出现后，他的监狱生活就因此忙碌了起来…？,已完结,http://www.ccdm13.com/manhua/16006/
