,标题,内容简介,分类,标签,下载链接,提取码,解压密码,来源地址
0,【欧美SLG/大帝国汉化】腐化 Ver1.95 精修汉化作弊版+攻略+存档【更新/PC+安卓/5.3G】,,漫画,,,,,https://bbs.2046acg.com/thread-7128-1-1.html
1,【汉化/动态】爆炎怀孕！超エロ催.眠爆汝学园2 V2.0精翻修复版+存档/动画[PC+安卓/10G],,漫画,,,,,https://bbs.2046acg.com/thread-6249-1-1.html
2,【欧美SLG/汉化/动态CG】姐姐破产了 Ass-hole V1.0 汉化作弊版 【新汉化/PC+安卓】【3.4G】,,漫画,,,,,https://bbs.2046acg.com/thread-3722-1-1.html
3,【国产RPG/中文/动态CG】爱巢 Ver1.99 中文版+攻略【9月更新/PC+安卓】【黑丝】【8.3G】,,漫画,,,,,https://bbs.2046acg.com/thread-3638-1-1.html
4,【欧美SLG/汉化/动态CG】欲望之梦：1-12章 精修完结汉化版+攻略+CG【PC+安卓版】【5G】,,漫画,,,,,https://bbs.2046acg.com/thread-2230-1-1.html
5,【拔作ADV/汉化】育种村：Breeding Village 完结汉化版【PC+安卓版/全CV】【1.3G】,,漫画,,,,,https://bbs.2046acg.com/thread-1700-1-1.html
6,【3D互动/中文/全动态】堕落玩偶：爱O欲行动 V0.29 官中步兵版+动画【PC+VR/新怪/30G】,,漫画,,,,,https://bbs.2046acg.com/thread-8037-1-1.html
7,【欧美SLG/汉化/动态CG】救赎-Deliverance- 全10章精翻汉化版+全CG【更新/PC+安卓/4.2G】,,漫画,,,,,https://bbs.2046acg.com/thread-8035-1-1.html
8,【欧美SLG/汉化/动态CG】嫉妒 Jealousy V0.8 精翻汉化高压版+全CG【更新/PC+安卓】【2G】,,漫画,,,,,https://bbs.2046acg.com/thread-8034-1-1.html
9,【国人RPG/中文/全动态】逆命·REVERSE FATE V1.49 官方中文步兵版【更新/可纯可绿/5.6G】,,漫画,,,,,https://bbs.2046acg.com/thread-8033-1-1.html
10,【大型RPG/汉化/高自由】正太或死：SHOTAorDIE V7 精翻完整汉化版+全CG【新汉化/1G】,,漫画,,,,,https://bbs.2046acg.com/thread-8032-1-1.html
11,【欧美RPG/汉化/全动态】纳迪亚之宝 Ver48091精修汉化版★神级画面+存档【更新/3.5G】,,漫画,,,,,https://bbs.2046acg.com/thread-8027-1-1.html
12,【3A大作/中文/魔改】巫师3：狂瓢！绅士邪恶魔改版★解压即玩小白福音【新魔改/60G】,,漫画,,,,,https://bbs.2046acg.com/thread-8026-1-1.html
13,【欧美SLG/汉化/沙盒/动态CG】无尽的快x感！Ver3.51 精翻汉化版【大量上垒更新/3.8G】,,漫画,,,,,https://bbs.2046acg.com/thread-8025-1-1.html
14,【欧美SLG/汉化/动态CG】我很荣幸 Ver0.7 精翻汉化版+全CG【9月更新/PC+安卓】【3.5G】,,漫画,,,,,https://bbs.2046acg.com/thread-8024-1-1.html
15,【欧美SLG/汉化/动态CG】宣誓之诚 OathOfLoyalty 全4章精翻汉化版【更新/PC+安卓/1.6G】,,漫画,,,,,https://bbs.2046acg.com/thread-8023-1-1.html
16,【欧美SLG/汉化/动态CG】隔壁班级 Ver1.31 全10章精翻汉化版【更新/PC+安卓】【2G】,,漫画,,,,,https://bbs.2046acg.com/thread-8022-1-1.html
17,【欧美QSP/汉化/动态CG】欲望之城QSP Extacity V0.40精翻汉化版+全CG【更新】【1.5G】,,漫画,,,,,https://bbs.2046acg.com/thread-8016-1-1.html
18,【超爆款RPG/汉化】史上最贵黄鼬：文艺复兴の奴隶牧场RPG！修复汉化版+CG【更新/1G】,,漫画,,,,,https://bbs.2046acg.com/thread-8015-1-1.html
19,【欧美RPG/汉化/动态】家庭事务 Ver4.1 精翻汉化版【僵尸生活作者/更新】【500M】,,漫画,,,,,https://bbs.2046acg.com/thread-8014-1-1.html
0,【欧美SLG/汉化/动态CG】猎.艳逐影 Photo Hunt V0.9.2 汉化作弊版【更新/PC+安卓】【4G】,,漫画,,,,,https://bbs.2046acg.com/thread-8013-1-2.html
1,【欧美SLG/汉化/动态CG】父母的爱-Parental Love 完结精翻汉化版【更新/PC+安卓】【3.4G】,,漫画,,,,,https://bbs.2046acg.com/thread-8012-1-2.html
2,【欧美SLG/汉化/动态CG】成为摇滚明星 Ver0.70 精翻汉化版+攻略【更新/PC+安卓】【4G】,,漫画,,,,,https://bbs.2046acg.com/thread-8011-1-2.html
3,【欧美SLG/汉化/动态CG】堕落的小镇 Ver0.40 精翻汉化版【新汉化/PC+安卓】【700M】,,漫画,,,,,https://bbs.2046acg.com/thread-8003-1-2.html
4,【欧美SLG/汉化/动态CG】午夜天堂 Ver1.10 精翻汉化版+全CG【更新/PC+安卓】【4G】,,漫画,,,,,https://bbs.2046acg.com/thread-8002-1-2.html
5,【史诗SLG/中文/动态】封缄之都古拉塞斯塔！威力加强汉化版+全DLC+存档【神作/9G】,,漫画,,,,,https://bbs.2046acg.com/thread-8001-1-2.html
6,【经营SLG/汉化/动态】黑道千金组长莉莉卡的昌馆经营记！汉化作弊修复【新作/1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7997-1-2.html
7,【欧美SLG/汉化】随心所欲 Casual Desires Ver0.2 精翻汉化版+全CG【新汉化/PC+安卓/1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7996-1-2.html
8,【欧美SLG/汉化/动态CG】感染者 Ver0.6 精翻汉化版+全CG[末日流]【新汉化/PC+安卓/1.9G】,,漫画,,,,,https://bbs.2046acg.com/thread-7995-1-2.html
9,【神级RPG/中文/步兵】[小马拉大车] 欲望之尾 V0.35 官方中文版+存档+CG【更新/1.4G】,,漫画,,,,,https://bbs.2046acg.com/thread-7994-1-2.html
10,【欧美SLG/汉化/动态CG】私生女重置版 Ver1.6B-Fix4 精修汉化修复版【8月31日更新/3G】,,漫画,,,,,https://bbs.2046acg.com/thread-7993-1-2.html
11,【RPG/中文/神奇魔改】星露谷物语V1.45 超邪恶R18魔改版！【新魔改/全动态】【1.7G】,,漫画,,,,,https://bbs.2046acg.com/thread-7988-1-2.html
12,【大型拔作ADV/汉化】11月的理想乡 精翻汉化版+全CG存档+攻略【新汉化/全CV】【3G】,,漫画,,,,,https://bbs.2046acg.com/thread-7987-1-2.html
13,【欧美SLG/汉化/2D步兵】穿越计划 Ver0.8 精翻汉化版+全CG【新汉化/PC+安卓】【600M】,,漫画,,,,,https://bbs.2046acg.com/thread-7986-1-2.html
14,【解谜调X教RPG/汉化】[巴比伦] 守护战姬铃音 Ver2.35 精翻汉化版【新汉化】【1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7985-1-2.html
15,【欧美SLG/汉化/动态CG】属于你的时空 Ver0.11.1 精翻汉化版+全CG【新汉化/PC+安卓/1.3G】,,漫画,,,,,https://bbs.2046acg.com/thread-7984-1-2.html
16,【养成SLG/汉化/动态】家出少女：1room Ver1.22 官方中文完结版+全CG档【精品/1.4G】,,漫画,,,,,https://bbs.2046acg.com/thread-7983-1-2.html
17,【互动SLG/汉化/全动态】命运之风 WOTD Ver0.4精翻汉化版【新汉化/PC+安卓/1.2G】,,漫画,,,,,https://bbs.2046acg.com/thread-7978-1-2.html
18,【探索RPG/中文/全动态】寻女之旅：迷雾之森 08.29 正式完结步兵版【更新/全CV/1.8G】,,漫画,,,,,https://bbs.2046acg.com/thread-7977-1-2.html
19,【QSP游戏/汉化/动态CG】爱O欲之塔 Ver6.8.20精翻汉化作弊版+全CG【新汉化】【5.5G】,,漫画,,,,,https://bbs.2046acg.com/thread-7976-1-2.html
0,【欧美SLG/汉化/国风】重启生涯 Ver0.60 精翻汉化版+全CG【新汉化/PC+安卓】【3.1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7975-1-3.html
1,【欧美SLG/汉化/动态CG】黑魔法 Ver1.11 超能精翻汉化作弊版+全CG【更新/PC+安卓/4G】,,漫画,,,,,https://bbs.2046acg.com/thread-7974-1-3.html
2,【欧美SLG/汉化/动态CG】欲x望觉醒 Ver0.34 HD重置精翻汉化版【更新/PC+安卓】【4G】,,漫画,,,,,https://bbs.2046acg.com/thread-7973-1-3.html
3,【超爆款RPG/汉化/步兵】异世エロRPG~超H世界犯规神技 [エロ时间]汉化版【新汉化/1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7967-1-3.html
4,【欧美SLG/汉化/动态CG】纯爱 Ver0.43精翻汉化版+CG【新汉化/PC+安卓】【3.1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7966-1-3.html
5,【欧美SLG/汉化/动态CG】腐化 Ver2.05 精修汉化作弊版+攻略+存档【更新/PC+安卓】【6G】,,漫画,,,,,https://bbs.2046acg.com/thread-7965-1-3.html
6,【调x教RPG/汉化/全动态】绝对服从危机！Ver1.03 精翻完整汉化版+全CG【新汉化/1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7964-1-3.html
7,【欧美SLG/沙盒/汉化】红色小屋 Ver0.3a 精翻汉化版+全CG【更新/PC+安卓】【3G】,,漫画,,,,,https://bbs.2046acg.com/thread-7963-1-3.html
8,【后宫SLG/汉化/动态CG】大学篮球巨星 Ver0.76 精翻汉化版+全CG【更新/PC+安卓】【4G】,,漫画,,,,,https://bbs.2046acg.com/thread-7962-1-3.html
9,【国风RPG/中文/2D】漠银之音~落难女君 DL官方中文版+全CG 【新作】【700M】,,漫画,,,,,https://bbs.2046acg.com/thread-7955-1-3.html
10,【欧美SLG/汉化/动态CG】欲X望失控 Ver0.70精翻汉化版+全CG【更新/PC+安卓】【4.6G】,,漫画,,,,,https://bbs.2046acg.com/thread-7954-1-3.html
11,【大型RPG/中文/全动态】[究极开大车] 大超萌领“狱” V1.0官方中文步兵版【新作/4G】,,漫画,,,,,https://bbs.2046acg.com/thread-7953-1-3.html
12,【互动解谜SLG/中文/全动态】甜心娇娃：星光！官方中文步兵版【新作/黑丝/全CV/300M】,,漫画,,,,,https://bbs.2046acg.com/thread-7952-1-3.html
13,【欧美SLG/汉化/动态CG】原始本能-PrimalInstict V0.7 精翻汉化版【更新/PC+安卓】【3.3G】,,漫画,,,,,https://bbs.2046acg.com/thread-7951-1-3.html
14,【欧美SLG/汉化/动态CG】归家长路 Ver0.30 精翻汉化版+全CG【更新/PC+安卓】【2.1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7945-1-3.html
15,【极品建模/汉化/动态CG】我的尤X物私人教练！精翻汉化版+CG+动画【新汉化】【1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7944-1-3.html
16,【RPG/汉化】和妈妈在孤岛银乱生活！精翻完整汉化版+全CG【新汉化/PC+安卓】【500M】,,漫画,,,,,https://bbs.2046acg.com/thread-7943-1-3.html
17,【欧美SLG/汉化/动态CG】水上世界 V2.50 精翻汉化作弊版+全CG【大后宫/更新】【2G】,,漫画,,,,,https://bbs.2046acg.com/thread-7942-1-3.html
18,【欧美SLG/汉化/动态CG】冒牌英雄：False Hero V0.25 精翻汉化版【新汉化/PC+安卓】【5G】,,漫画,,,,,https://bbs.2046acg.com/thread-7941-1-3.html
19,【SLG/汉化/动态】妹妹同居生活:黑白色！V2.03 精修汉化步兵版+完美存档【更新/200M】,,漫画,,,,,https://bbs.2046acg.com/thread-7935-1-3.html
0,【战略SLG/中文】四国志：酒池肉面战记！官方中文步兵版+全CG【新作/全CV】【2G】,,漫画,,,,,https://bbs.2046acg.com/thread-7934-1-4.html
1,【欧美SLG/汉化/动态CG】异界娘啪啪度假村 V0.21精翻汉化版+全CG【新汉化/PC+安卓/2.6G】,,漫画,,,,,https://bbs.2046acg.com/thread-7933-1-4.html
2,【爆款RPG/汉化/动态CG】卡琳·典狱长 Ver6L 精翻汉化步兵版【8月更新/H战斗/600M】,,漫画,,,,,https://bbs.2046acg.com/thread-7932-1-4.html
3,【欧美SLG/汉化/动态CG】交换生 Ver0.50a 精翻汉化版+全CG【更新/PC+安卓】【1.8G】,,漫画,,,,,https://bbs.2046acg.com/thread-7931-1-4.html
4,【欧美SLG/汉化/动态CG】坏英雄 BadHero V1.34 精翻汉化版+全CG【更新/PC+安卓】【3.8G】,,漫画,,,,,https://bbs.2046acg.com/thread-7930-1-4.html
5,【拔作ADV/汉化/步兵】拉雅和我的爱爱冒险记！精翻汉化版【新汉化/PC+安卓】【2G】,,漫画,,,,,https://bbs.2046acg.com/thread-7927-1-4.html
6,【3D/汉化/全动态】零落姬骑士安娜斯忒婭~强制受孕诅咒！步兵汉化版【新汉化/1.4G】,,漫画,,,,,https://bbs.2046acg.com/thread-7926-1-4.html
7,【RPG/汉化/动态CG】超淑女传说！V1.20 精翻汉化版+存档+全CG【8.25更新/PC+安卓/3G】,,漫画,,,,,https://bbs.2046acg.com/thread-7924-1-4.html
8,【沙盒SLG/汉化/动态】我真正的愿望 Ver3.1 精翻汉化版+CG【更新/PC+安卓/AI引擎/2G】,,漫画,,,,,https://bbs.2046acg.com/thread-7923-1-4.html
9,【欧美SLG/汉化/动态CG】难过的回忆 Ver0.52 精翻汉化版+全CG【更新/PC+安卓】【1.8G】,,漫画,,,,,https://bbs.2046acg.com/thread-7922-1-4.html
10,【经营SLG/汉化/2D动态】庇.护.所~世界末日的故事 V0.19 精翻汉化版【更新/PC+安卓/1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7921-1-4.html
11,【ACT/中文/步兵】七欲罪-人x妻再临！官方中文破解版/已打步兵补丁【新作/全CV/3G】,,漫画,,,,,https://bbs.2046acg.com/thread-7913-1-4.html
12,【2D油画画风/SLG/汉化】玛雅！精翻汉化完结版+全CG【新汉化/英文CV/PC+安卓/1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7912-1-4.html
13,【ARPG/汉化/动态】银勇者！和村民魔物开心啪啪！精修汉化版+存档+CG【PC+安卓/2G】,,漫画,,,,,https://bbs.2046acg.com/thread-7911-1-4.html
14,【ARPG/汉化/全动态】银纹魔女与エロ色O晴地牢！精翻完整汉化版+CG【新汉化/CV/2.5G】,,漫画,,,,,https://bbs.2046acg.com/thread-7910-1-4.html
15,【欧美SLG/汉化/动态CG】女孩之家 Extra Ver1.0精翻汉化版+全CG【8月上垒大更新/1.9G】,,漫画,,,,,https://bbs.2046acg.com/thread-7909-1-4.html
16,【国产RPG/中文/动态CG】爱巢！正式最终作弊完结版+国配动画【完坑/PC+安卓/13G】,,漫画,,,,,https://bbs.2046acg.com/thread-7908-1-4.html
17,【拔作ADV/汉化/全动态】援O交爱女~我们两个都很可爱吧，爸爸！汉化版【2G/新汉化】,,漫画,,,,,https://bbs.2046acg.com/thread-7902-1-4.html
18,【恶堕RPG/中文/步兵】少女退魔记！STEAM官方中文步兵版+全CG【新作】【1.2G】,,漫画,,,,,https://bbs.2046acg.com/thread-7901-1-4.html
19,【欧美SLG/汉化/动态CG】家庭主男 Family Man Ver9.1精翻汉化版【更新/PC+安卓】【5G】,,漫画,,,,,https://bbs.2046acg.com/thread-7900-1-4.html
0,【ACT/全动态/3D】战争公主 8月22日更新 [增加剧情/卖O身H]【更新/全CV】【2G】,,漫画,,,,,https://bbs.2046acg.com/thread-7899-1-5.html
1,【欧美SLG/汉化/动态CG】背叛-Betrayed Ver0.66 精翻汉化版+攻略【更新/PC+安卓】【5G】,,漫画,,,,,https://bbs.2046acg.com/thread-7898-1-5.html
2,【欧美SLG/汉化/动态CG】巨龙掠夺者：Ravager Ver2.52 精翻汉化版【更新/PC+安卓/1.2G】,,漫画,,,,,https://bbs.2046acg.com/thread-7897-1-5.html
3,【高自由度SLG/汉化/步兵】大学生活-Uni ！Ver0.24.8 精翻汉化作弊版【PC+安卓/1.2G】,,漫画,,,,,https://bbs.2046acg.com/thread-7894-1-5.html
4,【欧美SLG/汉化/动态CG】道路 The Way BB Ver0.32a精翻汉化版【更新/PC+安卓】【5.9G】,,漫画,,,,,https://bbs.2046acg.com/thread-7893-1-5.html
5,【RPG/中文/究极NTR】炼金术师姐姐收集晶液的理由~出轨炼成小宝宝！中文版+存档【1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7892-1-5.html
6,【RPG/汉化】银惑圣女玛利亚~沉溺爱O欲的神使与贪婪羔羊！精翻汉化版【新作/200M】,,漫画,,,,,https://bbs.2046acg.com/thread-7891-1-5.html
7,【欧美SLG/汉化/动态CG】过去一瞬 V0.30 精翻汉化版+全CG【大更新/PC+安卓】【4.1G】,,漫画,,,,,https://bbs.2046acg.com/thread-7890-1-5.html
8,【佳作ARPG/中文/步兵】治愈使与受诅咒的地下城 V0.31官方中文步兵版【新作/CV/260M】,,漫画,,,,,https://bbs.2046acg.com/thread-7884-1-5.html
