,漫画ID,标题,作者,封面,内容简介,是否完结,最新章节,题材类型,关键字,评分
0,13449,女上男下,哈士奇小子 ; 变态啪啪啪,/bookimages/1233/945_1543820561.819.jpg,朋友上班都偷吃女主管，我怎麼上班第一天就面臨被炒的危機?為什麼我沒有辦公室艷遇的命...我也想被主管騎啊~,已完结,最終話-兩人的故事重新書寫,其他,"办公室,正妹,剧情,女上司,男下属,情趣",9.83
1,13501,前女友,獨白; 軟軟,/bookimages/1456/3a6cf358-b67d-4d78-94c5-0709474dc119.jpg,真心相愛的前女友突然跟我說分手，兩年後竟然變成公司前輩的未婚妻…去他們家作客時，前女友卻主動向我靠近…,已完结,最終話-淳男造就的未來,其他,"戏剧,前女友,分手,乱伦,偷情,勾引,巨乳",9.87
2,13799,密室逃脱,"KOI,HAPPYGRA",/Public/Uploads/img/20200428/5ea83aef2399a.jpg,因中奖而入住酒店的大学生感叹酒店环境富丽堂皇的他们殊不知等待他们的将是...,已完结,,其他,,9.68
3,13720,爱情店到店,老大 &amp;amp;amp; 金蓮,/bookimages/1499/c77fcf17-0a43-4483-a4ea-6faa5b54dc43.jpg,总在深夜时分光顾超商的她在我耳边轻声说道，「这不是恋爱，我对你也没什麽特殊感情，只是想排遣寂寞而已…」,已完结,最終話-他们的故事未完待续,其他,"巨乳,背叛,女大学生,勾引,同居",9.84
4,13360,报告夫人,19泰迪 &amp;amp; 李宇在,/Public/Uploads/img/20200316/5e6f822b323d0.jpg,新训刚结束的其哲受营长夫人的派遣，担任她二女儿的家庭家教。但他万万没想到，除了当家教，还要「照顾」营长的一对千金以及其他的长官夫人…...,已完结,最終話-漫長軍人生活的盡頭,其他,"有夫之妇,肉欲,性感,家教,多人,淫荡",9.75
5,13502,我要抢走她,李萬 &amp;amp; 高孫志,/bookimages/1477/03a769cf-a7ee-425d-bffc-79d35c491e0c.jpg,學生時期總是霸凌我的8+9，出社會後只是個賣衣服的魯蛇，看我這個人生勝利組怎麼討回公道！,已完结,最終話-最後的贏家,其他,"巨乳,性感,鲁蛇,强暴,淫荡",9.87
6,13715,那家伙的女人,月九千,/bookimages/1491/44e592bc-c3e7-4a39-9b8d-e952ffcf5fd1.jpg,「你要不要...上我女友?」许久未见的大学拜把兄弟丢出的这一句话，唤醒我隐藏在内心深处的雄性本能。,已完结,最終話-結束漫長的徬徨之後,其他,"朋友妻,性感,勾引,多人,正妹",9.88
7,13378,玩转女上司,哈士奇小子,/bookimages/1482/ee3057ac-1fd9-4b0f-a3a4-40f6b42f125c.jpg,鎮浩突破了重重困難，進入一家大公司當實習生。然而，他必須先通過美女上司們一連串的「特殊教育」，才能實現成為正職員工的夢想。,已完结,最終話-無法挽回的選擇,其他,"调教,办公室,黑丝,巨乳,肉欲,正妹",9.91
8,13241,荒淫同学会,AAMEDIA,/bookimages/1221/8ba8d976-d61e-43bd-941e-122eb28b42b0.jpeg,她是我的高中初戀，為了得到她，我參加了一次又一次淫亂不堪的...變調同學會。,已完结,最終話-重新開始的同學會,其他,"朋友老婆,有夫之妇,初恋,兄妹,淫乱不堪,同学会",9.88
9,13363,阿姨的秘密情事,漢水&amp;龜公,/Public/Uploads/img/20191231/5e0a73d50c4c7.jpg,代替媽媽養育我的阿姨雖然年輕貌美，但卻不結婚，身邊也沒有男人。 難道阿姨她是…,已完结,最終話-阿姨，幫我生個孩子,其他,"阿姨,秘密,情事,不结婚,年轻貌美,大尺度",9.78
